Blue Ridge Optics, Hamilton College, June 2026						
LiF on 3-inch Fused Silica wafer. WA0904 Labeled Sample						Map 3, July 29, 2026
Used RC2XF Small Spot Ellipsometer with focused beam						Sample Rotated Clockwise 90 degrees						
Mapping Results						
X (cm)	Y (cm)	LiF Film Thickness, nm	LiF Grading, %	Roughness, nm	Interlayer Thickness # 1, nm	Interlayer EMA Void, %
-1.4	0.2	499.0	4.5	30.2	92.8	19.8
-1.6	0.2	499.2	4.3	30.1	92.3	19.8
-1.8	0.2	499.0	4.1	30.0	92.3	19.6
-2	0.2	499.1	3.9	30.1	91.8	19.4
-2.2	0.2	498.5	4.2	29.9	92.1	19.3
-2.4	0.2	498.3	4.1	29.9	91.9	19.0
-2.6	0.2	498.5	4.0	29.9	91.4	19.1
-2.8	0.2	498.2	3.9	29.9	91.8	18.6
-3	0.2	498.7	3.9	29.7	90.9	18.7
-3.2	0.2	498.2	3.9	29.4	90.7	18.5
-3.4	0.2	498.0	3.9	29.5	90.7	17.9
-3.4	0	497.7	3.8	29.5	91.0	18.1
-3.2	0	498.1	3.8	29.7	91.0	18.5
-3	0	498.4	4.0	29.8	91.5	18.7
-2.8	0	498.5	4.1	29.8	91.4	18.9
-2.6	0	498.2	4.0	30.0	92.1	19.0
-2.4	0	498.7	3.9	30.1	91.8	19.3
-2.2	0	499.0	4.2	30.1	91.9	19.4
-2	0	498.7	4.2	30.0	92.7	19.6
-1.8	0	499.5	4.2	30.2	92.0	19.8
-1.6	0	498.6	4.3	30.2	93.2	19.8
-1.4	0	498.7	4.2	30.2	93.2	20.1
-1.2	0	498.8	4.3	30.0	93.4	20.2
-1	0	499.5	4.2	30.2	93.0	20.2
-0.8	0	499.1	4.1	29.9	93.3	20.5
-0.6	0	499.0	4.3	30.2	93.8	20.7
-0.4	0	499.3	4.3	30.4	93.6	20.9
-0.2	0	499.4	4.2	30.3	94.0	21.0
0	0	499.6	4.2	30.3	93.9	21.1
0.2	0	499.4	4.3	30.4	94.3	21.5
0.4	0	500.3	4.5	30.3	93.7	21.6
0.6	0	499.8	4.4	30.4	94.5	21.8
0.8	0	499.9	4.5	30.4	94.7	22.0
1	0	500.0	4.5	30.3	94.4	22.2
1.2	0	499.9	4.4	30.4	94.5	22.3
1.4	0	500.4	4.3	30.5	94.5	22.5
1.6	0	499.7	4.2	30.6	95.2	22.6
1.8	0	499.8	4.2	30.6	95.2	22.8
2	0	499.8	4.4	30.2	94.8	22.8
2.2	0	499.6	4.5	30.2	95.1	23.0
2.4	0	499.5	4.4	30.4	95.6	23.0
2.6	0	498.9	4.5	30.1	95.9	23.2
2.8	0	498.9	4.6	30.2	95.6	23.4
3	0	498.4	4.6	29.7	95.9	23.3
3.2	0	497.7	4.7	29.9	95.5	23.4
3.4	0	497.7	4.8	29.2	95.0	23.3
3.4	-0.2	496.5	4.5	29.1	96.1	23.2
2.8	-0.2	499.4	4.5	30.2	95.3	23.3
2.6	-0.2	499.3	4.5	30.1	95.6	23.3
2.4	-0.2	499.1	4.4	30.1	95.8	23.1
2	-0.2	499.8	4.3	30.3	95.1	22.8
1.8	-0.2	500.2	4.3	30.5	94.9	22.7
1.6	-0.2	499.9	4.4	30.5	95.3	22.5
1.4	-0.2	499.7	4.3	30.2	95.1	22.5
1.2	-0.2	499.7	4.3	30.2	94.9	22.3
1	-0.2	499.4	4.3	30.4	95.0	22.1
0.8	-0.2	499.0	4.1	29.6	94.0	21.8
0.6	-0.2	499.9	4.3	30.3	94.5	21.8
0.4	-0.2	499.9	4.4	30.3	94.0	21.7
0.2	-0.2	500.0	4.5	30.3	93.8	21.5
0	-0.2	499.8	4.2	30.3	93.9	21.3
-0.2	-0.2	499.5	4.2	30.1	93.6	21.2
-0.4	-0.2	499.7	4.4	30.1	93.5	21.0
-0.6	-0.2	499.7	4.4	30.0	93.2	20.7
-0.8	-0.2	499.1	4.3	30.4	93.6	20.6
-1	-0.2	499.5	4.3	30.3	93.1	20.5
-1.2	-0.2	499.2	4.2	30.3	93.0	20.3
-1.4	-0.2	498.9	4.1	30.3	93.3	20.1
-1.6	-0.2	498.9	4.3	30.4	92.9	20.0
-1.8	-0.2	498.9	4.2	30.2	92.7	19.9
-2	-0.2	498.9	4.2	30.2	92.4	19.8
-2.2	-0.2	498.7	4.1	30.2	92.1	19.7
-2.4	-0.2	498.8	4.1	30.1	91.8	19.4
-2.6	-0.2	498.6	4.1	30.1	91.7	19.3
-2.8	-0.2	498.4	4.1	30.1	91.8	19.1
-3	-0.2	498.5	4.1	29.9	91.6	18.8
-3.2	-0.2	498.1	4.0	29.5	91.2	18.7
-3.4	-0.2	497.9	3.8	29.5	91.1	18.2
-3.4	-0.4	497.5	3.9	29.5	91.6	18.4
-3.2	-0.4	498.5	4.1	29.6	90.9	18.9
-3	-0.4	498.7	4.1	29.8	91.4	19.1
-2.8	-0.4	498.2	4.1	30.0	92.2	19.1
-2.6	-0.4	498.3	4.1	30.0	92.2	19.5
-2.4	-0.4	498.5	4.2	30.0	92.3	19.5
-2.2	-0.4	498.3	4.2	30.2	92.8	19.6
-2	-0.4	499.3	4.2	30.2	92.5	19.8
-1.8	-0.4	499.2	4.3	30.1	92.6	20.0
-1.6	-0.4	499.5	4.1	30.2	92.5	20.1
-1.4	-0.4	499.0	4.2	30.2	93.2	20.3
-1.2	-0.4	499.1	4.2	30.1	93.3	20.3
-1	-0.4	499.3	4.2	30.2	93.7	20.3
-0.8	-0.4	499.1	4.1	30.3	93.6	20.6
-0.6	-0.4	499.7	4.2	30.3	93.3	20.7
-0.4	-0.4	499.1	3.9	29.7	93.4	20.7
-0.2	-0.4	500.1	4.3	30.1	93.5	21.2
0	-0.4	500.6	4.3	30.3	93.7	21.5
0.2	-0.4	496.3	4.2	29.1	97.2	21.2
0.4	-0.4	499.4	4.5	30.1	94.7	21.5
0.6	-0.4	500.1	4.3	30.3	94.2	21.8
0.8	-0.4	499.5	4.3	30.3	95.0	21.7
1	-0.4	499.5	4.4	30.2	94.9	22.0
1.2	-0.4	499.9	4.3	30.1	95.0	22.2
1.4	-0.4	500.3	4.3	30.3	94.7	22.5
1.6	-0.4	500.5	4.3	30.2	94.8	22.5
1.8	-0.4	500.1	4.4	30.4	94.8	22.8
2	-0.4	499.8	4.4	30.2	95.1	22.9
2.2	-0.4	499.7	4.3	30.2	95.1	23.0
2.4	-0.4	499.9	4.3	30.2	95.2	23.1
2.6	-0.4	500.2	4.4	30.3	94.8	23.4
2.8	-0.4	499.0	4.4	30.1	95.4	23.3
3	-0.4	497.0	4.7	29.5	97.4	23.2
3.4	-0.4	495.9	4.5	28.8	96.4	23.0
3.2	-0.6	497.8	4.4	29.7	95.1	23.3
3	-0.6	498.3	4.5	30.0	95.7	23.3
2.8	-0.6	498.9	4.4	30.1	95.2	23.3
2.6	-0.6	499.5	4.2	30.3	95.1	23.4
2.4	-0.6	499.6	4.2	30.1	95.1	23.0
2.2	-0.6	499.3	4.2	30.2	95.6	23.0
2	-0.6	500.2	4.4	30.2	94.7	23.0
1.8	-0.6	500.1	4.3	30.3	94.5	23.0
1.6	-0.6	500.3	4.2	30.2	94.6	22.7
1.4	-0.6	500.0	4.3	30.2	95.2	22.4
1.2	-0.6	499.8	4.2	30.2	94.9	22.3
1	-0.6	499.3	4.1	30.0	95.1	22.0
0.8	-0.6	499.6	4.1	30.0	94.9	21.8
0.6	-0.6	499.9	4.2	30.0	94.5	21.7
0.4	-0.6	499.4	4.3	30.1	94.4	21.7
0.2	-0.6	499.2	4.1	29.8	93.6	21.2
0	-0.6	500.2	4.3	30.4	93.8	21.3
-0.2	-0.6	500.4	4.4	29.9	93.3	21.2
-0.4	-0.6	499.8	4.1	30.1	93.7	21.1
-0.6	-0.6	499.8	4.2	30.0	93.3	20.9
-0.8	-0.6	499.6	4.1	30.0	93.2	20.6
-1	-0.6	499.7	4.1	29.9	93.3	20.4
-1.2	-0.6	498.7	4.0	30.0	93.6	20.2
-1.4	-0.6	499.5	4.3	30.1	93.0	20.3
-1.6	-0.6	499.3	4.1	30.1	93.0	20.0
-1.8	-0.6	499.7	4.1	30.0	92.6	19.9
-2	-0.6	499.6	4.2	29.9	92.5	19.7
-2.2	-0.6	499.1	4.2	30.0	92.6	19.5
-2.4	-0.6	498.8	4.0	29.8	92.1	19.5
-2.6	-0.6	498.8	3.8	29.8	91.9	19.2
-2.8	-0.6	499.0	3.9	29.5	91.2	19.2
-3	-0.6	498.7	3.9	29.6	91.6	19.0
-3.2	-0.6	498.6	3.8	29.5	91.1	18.7
-3.4	-0.6	497.6	3.7	29.3	91.5	18.2
-3.4	-0.8	498.0	3.9	29.2	91.8	18.2
-3.2	-0.8	498.4	4.0	29.6	91.6	18.9
-3	-0.8	499.0	3.9	29.6	91.6	19.1
-2.8	-0.8	499.0	3.9	29.7	91.8	19.1
-2.6	-0.8	499.0	4.0	29.6	92.0	19.2
-2.4	-0.8	499.3	4.1	29.8	92.0	19.5
-2.2	-0.8	499.6	4.2	29.9	92.4	19.7
-2	-0.8	499.7	4.2	29.9	92.3	19.9
-1.8	-0.8	499.6	4.2	30.0	92.5	20.1
-1.6	-0.8	499.5	4.1	29.9	92.8	20.2
-1.4	-0.8	499.4	4.1	30.2	93.2	20.2
-1.2	-0.8	499.0	4.0	29.9	93.5	20.2
-1	-0.8	499.5	4.1	29.9	93.2	20.5
-0.8	-0.8	499.6	4.0	29.8	93.5	20.7
-0.6	-0.8	500.2	4.1	30.0	93.2	20.9
-0.4	-0.8	500.5	4.0	30.0	93.1	21.1
-0.2	-0.8	500.4	3.9	29.9	93.2	21.2
0	-0.8	500.1	4.3	30.2	93.8	21.6
0.2	-0.8	499.8	4.2	30.1	94.1	21.4
0.4	-0.8	498.8	4.0	29.4	94.7	21.4
0.6	-0.8	499.9	4.3	29.9	94.8	21.7
0.8	-0.8	499.2	4.1	29.8	95.4	21.8
1	-0.8	500.2	4.1	29.8	94.5	21.9
1.2	-0.8	499.7	4.0	30.0	94.9	22.2
1.4	-0.8	500.4	4.1	30.0	94.7	22.4
1.6	-0.8	499.8	4.3	30.2	95.0	22.5
1.8	-0.8	499.7	4.2	30.0	95.0	22.9
2	-0.8	499.8	4.3	30.2	95.0	22.9
2.2	-0.8	499.4	4.5	30.0	94.9	23.3
2.4	-0.8	499.7	4.1	30.0	95.0	23.1
2.6	-0.8	499.7	4.4	30.0	94.9	23.2
2.8	-0.8	498.7	4.3	29.9	95.2	23.2
3	-0.8	498.4	4.2	29.8	95.1	23.1
3.2	-0.8	497.4	4.4	29.6	95.2	23.2
3.4	-0.8	494.8	4.5	28.7	97.0	22.5
3.4	-1	496.0	4.3	29.0	95.5	22.5
3.2	-1	497.5	4.4	29.7	95.3	22.8
3	-1	498.0	4.2	29.9	95.2	23.3
2.8	-1	498.9	4.3	29.8	95.1	23.3
2.6	-1	499.1	4.3	30.0	95.2	23.3
2.4	-1	499.5	4.2	30.1	95.2	23.1
2.2	-1	499.8	4.4	30.1	95.1	23.0
2	-1	499.6	4.4	30.1	95.2	23.0
1.8	-1	499.7	4.2	30.1	95.0	22.9
1.6	-1	500.1	4.3	30.0	95.0	22.7
1.4	-1	499.9	4.0	30.1	94.8	22.4
1.2	-1	499.8	4.1	29.9	95.1	22.2
1	-1	499.6	4.2	29.9	94.9	22.1
0.8	-1	500.2	4.1	29.9	94.5	21.9
0.6	-1	500.5	4.2	30.2	94.3	21.8
0.4	-1	500.5	4.1	30.0	94.1	21.6
0.2	-1	500.0	3.8	30.1	93.7	21.4
0	-1	500.5	4.1	30.1	93.4	21.5
-0.2	-1	500.3	4.0	30.0	93.5	21.2
-0.4	-1	500.0	4.0	29.9	93.6	21.2
-0.6	-1	499.7	4.1	29.9	93.8	21.0
-1	-1	500.0	4.2	29.9	93.3	20.7
-1.2	-1	499.4	4.1	29.9	93.7	20.5
-1.4	-1	499.0	4.2	29.6	93.6	20.2
-1.6	-1	499.6	4.1	29.9	92.9	20.3
-1.8	-1	499.8	4.3	29.8	92.6	20.2
-2	-1	499.2	4.2	29.8	92.9	19.9
-2.2	-1	499.8	4.1	29.9	92.2	19.8
-2.4	-1	499.7	4.1	29.7	92.2	19.7
-2.6	-1	499.0	4.0	29.7	92.2	19.5
-2.8	-1	499.1	3.9	29.6	91.7	19.5
-3	-1	498.9	4.0	29.6	91.8	19.2
-3.2	-1	498.3	4.0	29.3	91.7	18.7
-3.4	-1	497.6	4.0	29.2	92.1	18.2
-3.2	-1.2	498.6	4.0	29.5	92.0	18.8
-3	-1.2	499.0	3.9	29.5	91.6	19.3
-2.8	-1.2	498.8	4.0	29.7	92.1	19.5
-2.6	-1.2	499.2	4.2	29.9	92.3	19.7
-2.4	-1.2	499.5	4.0	29.9	92.4	19.9
-2.2	-1.2	499.4	4.2	30.0	92.9	20.0
-2	-1.2	499.4	4.1	30.1	93.0	20.2
-1.8	-1.2	499.5	4.2	30.1	92.9	20.5
-1.6	-1.2	498.6	4.4	29.5	94.0	20.3
-1.4	-1.2	499.6	4.3	30.1	93.4	20.6
-1.2	-1.2	499.7	4.1	29.7	92.7	20.7
-1	-1.2	499.7	4.3	30.1	93.6	21.0
-0.8	-1.2	499.6	4.2	30.3	93.7	21.1
-0.6	-1.2	500.0	4.2	30.1	93.8	21.2
-0.4	-1.2	500.1	4.2	30.2	94.0	21.4
-0.2	-1.2	499.9	4.3	30.1	94.1	21.6
0	-1.2	500.0	4.3	30.3	94.1	21.7
0.2	-1.2	500.3	4.2	30.3	94.1	21.9
0.4	-1.2	500.3	4.3	30.3	94.6	22.0
0.6	-1.2	500.1	4.4	30.3	94.9	22.2
0.8	-1.2	499.9	4.3	30.3	94.7	22.3
1	-1.2	499.6	4.2	30.2	95.0	22.4
1.2	-1.2	500.0	4.2	30.2	94.9	22.6
1.4	-1.2	500.0	4.4	30.4	95.2	22.9
1.6	-1.2	499.3	4.4	30.4	95.6	22.9
1.8	-1.2	499.6	4.4	30.3	95.2	23.2
2	-1.2	499.6	4.5	30.3	95.5	23.3
2.2	-1.2	499.5	4.3	30.2	95.2	23.5
2.4	-1.2	499.3	4.4	30.3	95.2	23.5
2.6	-1.2	498.9	4.4	30.1	95.3	23.8
2.8	-1.2	498.5	4.4	30.3	95.2	23.4
3	-1.2	497.3	4.2	30.1	95.5	23.5
3.2	-1.2	497.0	4.4	29.8	95.6	23.0
3.2	-1.4	495.5	4.3	29.8	96.3	22.7
3	-1.4	496.6	4.5	30.1	96.4	23.1
2.8	-1.4	497.8	4.5	30.3	95.7	23.5
2.6	-1.4	499.0	4.2	30.2	94.9	23.5
2.4	-1.4	498.5	4.3	30.0	95.9	23.1
2.2	-1.4	499.3	4.4	30.4	95.3	23.5
2	-1.4	499.0	4.4	30.3	95.5	23.4
1.8	-1.4	499.3	4.2	30.4	95.3	23.2
1.6	-1.4	499.4	4.3	30.5	95.2	23.1
1.4	-1.4	499.5	4.3	30.4	95.6	22.9
1.2	-1.4	500.0	4.3	30.6	95.2	22.8
1	-1.4	498.4	4.3	30.0	96.1	22.5
0.8	-1.4	499.1	4.5	30.2	95.8	22.4
0.6	-1.4	499.6	4.3	30.2	95.0	22.3
0.4	-1.4	499.8	4.2	30.3	95.0	22.1
0.2	-1.4	500.3	4.3	30.3	94.2	22.1
0	-1.4	500.0	4.5	30.5	94.5	22.0
-0.2	-1.4	500.2	4.4	30.3	94.0	22.0
-0.4	-1.4	499.8	4.2	30.4	94.3	21.5
-0.6	-1.4	500.1	4.2	30.3	93.8	21.4
-0.8	-1.4	500.0	4.3	30.3	93.7	21.3
-1.2	-1.4	500.0	4.4	30.2	93.5	21.0
-1.4	-1.4	499.9	4.4	30.2	93.5	20.9
-1.6	-1.4	499.6	4.3	30.1	93.4	20.7
-1.8	-1.4	499.9	4.4	30.0	92.9	20.7
-2	-1.4	499.0	4.3	29.9	93.7	20.4
-2.2	-1.4	498.9	4.4	29.8	93.9	20.0
-2.4	-1.4	498.8	4.3	29.6	93.3	20.1
-2.6	-1.4	498.8	4.3	29.7	93.0	19.8
-2.8	-1.4	498.5	4.2	29.7	92.9	19.7
-3	-1.4	498.1	3.9	29.5	92.6	19.4
-3.2	-1.4	498.4	4.2	29.6	92.2	19.1
-3	-1.6	498.7	4.2	29.3	92.5	19.5
-2.8	-1.6	498.4	4.0	29.6	93.1	19.7
-2.6	-1.6	499.1	4.1	29.8	92.9	20.0
-2.4	-1.6	499.9	4.3	29.6	92.8	20.2
-2.2	-1.6	499.3	4.3	29.7	93.5	20.2
-2	-1.6	499.6	4.3	29.9	93.4	20.4
-1.6	-1.6	499.9	4.3	30.0	93.2	21.0
-1.4	-1.6	499.7	4.4	30.0	93.5	21.1
-1.2	-1.6	499.3	4.2	30.0	93.9	21.1
-1	-1.6	499.7	4.3	30.1	93.9	21.3
-0.8	-1.6	500.1	4.3	30.2	93.6	21.4
-0.6	-1.6	500.1	4.2	30.2	94.0	21.6
-0.4	-1.6	499.9	3.8	30.4	93.7	21.6
-0.2	-1.6	500.1	4.2	30.2	94.3	21.9
0	-1.6	499.9	4.3	30.3	94.7	22.0
0.2	-1.6	499.0	4.5	29.8	95.9	22.1
0.4	-1.6	499.6	4.2	30.2	95.1	22.2
0.6	-1.6	500.0	4.3	30.3	94.8	22.7
0.8	-1.6	499.5	4.2	30.2	95.1	22.5
1	-1.6	500.1	4.3	30.6	95.0	22.7
1.2	-1.6	499.9	4.3	30.4	95.2	22.8
1.4	-1.6	499.6	4.3	30.3	95.5	22.9
1.6	-1.6	498.9	4.3	30.3	96.0	23.0
1.8	-1.6	499.5	4.3	30.4	95.5	23.2
2	-1.6	499.6	4.3	30.3	95.3	23.3
2.2	-1.6	499.5	4.4	30.4	95.1	23.4
2.4	-1.6	498.7	4.3	30.3	95.6	23.3
2.6	-1.6	498.4	4.3	30.1	95.0	23.5
2.8	-1.6	497.5	4.4	29.9	95.6	23.4
3	-1.6	496.3	4.3	29.9	95.7	23.1
3	-1.8	495.8	4.2	29.7	95.2	23.0
2.8	-1.8	497.2	4.3	29.7	95.1	23.3
2.6	-1.8	498.0	4.4	30.2	95.3	23.5
2.4	-1.8	498.6	4.1	30.2	95.3	23.3
2.2	-1.8	499.2	4.3	30.3	95.2	23.4
2	-1.8	499.2	4.4	30.2	95.5	23.3
1.8	-1.8	499.4	4.3	30.1	95.2	23.2
1.6	-1.8	499.9	4.4	30.2	95.1	23.1
1.4	-1.8	498.9	4.3	29.9	96.0	22.9
1.2	-1.8	500.0	4.3	30.3	95.1	22.7
1	-1.8	500.3	4.4	30.2	95.0	22.7
0.8	-1.8	499.7	4.2	30.3	95.0	22.5
0.6	-1.8	500.4	4.3	30.3	94.3	22.7
0.4	-1.8	500.4	4.2	30.5	94.5	22.3
0.2	-1.8	500.1	4.4	30.2	94.5	22.2
0	-1.8	499.7	4.2	30.1	94.3	22.0
-0.2	-1.8	499.8	4.1	30.2	94.3	21.9
-0.4	-1.8	500.7	4.3	30.4	93.6	22.0
-0.6	-1.8	500.2	4.3	30.2	94.3	21.6
-0.8	-1.8	500.0	4.4	30.1	94.1	21.6
-1	-1.8	499.9	4.2	30.1	93.7	21.3
-1.2	-1.8	499.2	4.3	29.9	94.0	21.0
-1.4	-1.8	499.5	4.4	29.8	94.0	20.9
-1.6	-1.8	499.4	4.2	29.7	93.7	20.7
-1.8	-1.8	499.1	4.3	29.7	93.9	20.5
-2	-1.8	498.9	4.2	29.7	93.9	20.2
-2.2	-1.8	499.4	4.1	29.6	93.3	20.2
-2.4	-1.8	499.5	4.0	29.6	93.1	19.8
-2.6	-1.8	500.0	4.0	29.8	92.1	20.0
-2.8	-1.8	499.4	3.8	29.4	92.0	19.6
-3	-1.8	498.5	3.9	29.3	92.5	19.1
-2.8	-2	499.4	4.1	29.4	92.2	19.7
-2.6	-2	499.2	4.0	29.4	92.9	19.8
-2.4	-2	499.8	4.2	29.7	92.8	20.0
-2.2	-2	499.4	4.2	29.7	93.4	20.2
-2	-2	499.3	4.4	29.6	93.7	20.5
-1.8	-2	499.3	4.2	29.6	93.7	20.7
-1.6	-2	499.5	4.3	29.6	93.7	20.8
-1.4	-2	499.2	4.2	29.8	94.2	20.9
-1.2	-2	499.4	4.2	29.8	94.2	21.1
-1	-2	500.0	4.1	30.0	93.8	21.3
-0.8	-2	500.1	4.2	30.1	94.1	21.6
-0.6	-2	499.9	4.2	30.2	94.4	21.6
-0.4	-2	500.3	4.2	30.0	93.9	21.9
-0.2	-2	499.9	4.3	30.1	94.4	21.9
0	-2	499.9	4.3	30.0	94.6	22.0
0.2	-2	499.9	4.2	29.9	94.5	22.3
0.4	-2	499.8	4.3	30.3	94.9	22.2
0.6	-2	500.0	4.2	30.2	94.7	22.4
0.8	-2	499.9	4.2	30.1	95.0	22.4
1	-2	499.3	4.3	29.8	95.7	22.7
1.2	-2	500.0	4.1	30.2	94.9	22.7
1.4	-2	499.7	4.1	30.0	95.1	22.8
1.6	-2	499.6	4.1	30.0	95.2	23.1
1.8	-2	499.6	4.3	30.0	95.2	23.1
2	-2	499.3	4.2	30.2	95.2	23.1
2.2	-2	498.8	4.3	30.1	95.0	23.2
2.4	-2	498.5	4.2	30.0	95.0	23.3
2.6	-2	497.4	4.2	29.8	95.3	23.2
2.8	-2	496.6	4.1	29.6	94.9	23.0
2.6	-2.2	496.8	4.0	29.8	94.9	23.2
2.4	-2.2	497.8	4.3	29.9	95.3	23.2
2.2	-2.2	498.8	4.1	30.3	94.8	23.3
2	-2.2	499.3	4.3	30.0	95.1	23.1
1.8	-2.2	499.3	4.1	30.1	95.1	23.1
1.6	-2.2	499.1	4.3	30.1	95.4	23.1
1.4	-2.2	499.3	4.3	30.0	95.3	23.0
1.2	-2.2	499.5	4.3	30.1	95.4	22.7
1	-2.2	499.9	4.3	30.1	94.8	22.9
0.8	-2.2	499.6	4.2	30.1	95.1	22.5
0.6	-2.2	500.2	4.2	30.1	94.3	22.6
0.4	-2.2	499.8	4.3	30.2	94.7	22.5
0.2	-2.2	500.1	4.2	29.9	94.6	22.3
0	-2.2	499.5	4.3	30.1	94.7	22.0
-0.2	-2.2	500.0	4.3	30.0	93.9	22.1
-0.4	-2.2	500.0	4.2	30.1	93.8	22.0
-0.6	-2.2	500.0	4.2	29.9	94.3	21.6
-0.8	-2.2	500.2	4.2	30.0	94.2	21.5
-1	-2.2	500.0	4.3	29.9	94.2	21.3
-1.2	-2.2	500.1	4.3	29.7	93.7	21.3
-1.4	-2.2	499.2	4.2	29.4	94.2	21.0
-1.6	-2.2	499.3	4.2	29.5	93.8	20.8
-1.8	-2.2	499.9	4.3	29.4	93.5	20.7
-2	-2.2	499.3	4.2	29.5	93.8	20.2
-2.2	-2.2	499.4	4.1	29.5	93.5	20.1
-2.4	-2.2	499.6	4.1	29.3	92.7	19.9
-2.6	-2.2	498.9	3.9	29.0	93.1	19.6
-2.6	-2.4	498.6	4.0	28.8	93.1	19.3
-2.4	-2.4	498.6	4.0	29.2	93.8	19.8
-2.2	-2.4	499.5	4.0	29.4	93.2	20.2
-2	-2.4	499.8	4.1	29.2	93.2	20.3
-1.8	-2.4	499.4	4.2	29.2	94.1	20.5
-1.6	-2.4	499.4	4.1	29.3	93.7	20.9
-1.4	-2.4	499.4	4.2	29.5	94.1	21.0
-1.2	-2.4	499.5	4.2	29.5	94.0	21.3
-1	-2.4	499.8	4.4	29.8	94.2	21.4
-0.8	-2.4	500.1	4.3	29.7	93.9	21.8
-0.6	-2.4	500.3	4.2	29.8	93.7	21.8
-0.4	-2.4	499.8	4.2	29.8	94.2	21.9
-0.2	-2.4	499.8	4.3	30.0	94.4	22.0
0	-2.4	500.5	4.2	29.8	94.0	22.2
0.2	-2.4	499.8	4.1	29.9	94.4	22.4
0.4	-2.4	500.1	4.2	30.0	94.4	22.4
0.6	-2.4	499.6	4.3	30.0	95.1	22.5
0.8	-2.4	500.0	4.2	30.0	94.5	22.7
1	-2.4	499.9	4.1	29.9	94.6	22.9
1.2	-2.4	500.1	4.2	29.9	94.6	22.9
1.4	-2.4	499.3	4.2	29.9	95.2	23.0
1.6	-2.4	499.4	4.2	29.8	95.2	23.0
1.8	-2.4	499.2	4.2	29.9	95.1	22.9
2	-2.4	498.9	3.9	30.1	94.8	23.1
2.2	-2.4	498.5	4.1	29.8	94.6	23.1
2.4	-2.4	497.2	4.0	29.6	94.8	23.1
2.6	-2.4	496.1	4.1	29.3	94.9	22.9
2.4	-2.6	496.8	4.1	29.3	94.9	22.8
2.2	-2.6	497.9	4.1	29.7	94.8	23.0
2	-2.6	497.2	4.3	29.4	96.1	23.0
1.8	-2.6	498.8	4.1	30.0	95.0	23.2
1.6	-2.6	499.5	4.3	30.0	94.9	23.0
1.4	-2.6	499.3	4.2	29.9	95.2	23.0
1.2	-2.6	499.2	4.2	29.9	95.4	22.9
1	-2.6	499.6	4.2	30.0	94.9	22.8
0.8	-2.6	499.8	4.2	29.8	94.8	22.7
0.6	-2.6	499.4	4.1	29.9	94.8	22.5
0.4	-2.6	500.0	4.3	30.0	94.3	22.7
0.2	-2.6	499.7	4.3	29.9	94.8	22.5
0	-2.6	500.3	4.2	30.1	94.2	22.3
-0.2	-2.6	500.4	4.1	30.1	94.2	22.1
-0.4	-2.6	499.8	4.2	29.9	94.3	22.1
-0.6	-2.6	500.1	4.2	29.9	94.1	21.9
-0.8	-2.6	500.1	4.1	29.9	93.4	21.8
-1	-2.6	499.9	4.4	29.8	94.0	21.7
-1.2	-2.6	499.6	4.2	29.7	94.0	21.4
-1.4	-2.6	499.4	4.2	29.5	93.9	21.2
-1.6	-2.6	499.6	4.1	29.5	93.3	20.9
-1.8	-2.6	500.5	4.1	29.9	93.0	21.0
-2	-2.6	499.4	4.1	29.5	93.5	20.7
-2.2	-2.6	499.1	4.0	29.2	93.8	20.3
-2.4	-2.6	499.0	4.1	29.0	93.5	19.8
-2	-2.8	499.4	4.1	29.4	93.3	20.6
-1.8	-2.8	498.9	4.1	29.6	93.7	20.9
-1.6	-2.8	499.1	4.2	29.7	93.9	21.2
-1.4	-2.8	500.3	4.1	29.9	93.0	21.6
-1.2	-2.8	499.6	4.3	29.7	94.3	21.4
-1	-2.8	499.4	4.3	29.9	94.4	21.7
-0.8	-2.8	500.4	4.4	29.9	93.7	22.0
-0.6	-2.8	500.0	4.3	29.9	93.9	22.1
-0.4	-2.8	500.3	4.4	30.0	94.0	22.2
-0.2	-2.8	499.7	4.3	30.0	94.7	22.4
0	-2.8	500.5	4.3	30.2	94.1	22.6
0.2	-2.8	499.7	4.3	30.0	94.7	22.7
0.4	-2.8	499.7	4.3	30.1	94.8	22.7
0.6	-2.8	499.7	4.5	30.1	95.5	22.8
0.8	-2.8	499.5	4.5	30.1	95.4	22.8
1	-2.8	499.3	4.2	30.2	95.0	23.0
1.2	-2.8	499.5	4.3	30.1	95.2	23.1
1.4	-2.8	499.4	4.2	30.2	95.1	23.3
1.6	-2.8	498.8	4.4	30.1	95.5	23.2
1.8	-2.8	498.2	4.2	29.9	95.2	23.3
2	-2.8	497.1	4.2	29.8	95.6	23.0
1.8	-3	497.4	4.3	29.9	95.2	23.1
1.6	-3	498.0	4.1	29.9	95.3	23.2
1.4	-3	499.3	4.3	30.0	95.0	23.2
1.2	-3	499.4	4.2	30.0	94.8	23.1
1	-3	499.4	4.4	30.3	95.0	23.1
0.8	-3	499.4	4.3	30.3	95.4	23.0
0.6	-3	499.8	4.3	30.1	94.7	22.9
0.4	-3	499.8	4.4	30.0	95.2	22.7
0.2	-3	499.5	4.4	30.0	95.3	22.7
0	-3	499.6	4.6	30.1	95.1	22.6
-0.2	-3	499.7	4.6	30.0	94.7	22.5
-0.4	-3	499.5	4.2	29.8	94.6	22.3
-0.6	-3	499.5	4.3	29.7	94.2	22.2
