Blue Ridge Optics, Hamilton College, June 2026						
LiF on 3-inch Fused Silica wafer. WA0904 Labeled Sample						Map 2, July 29, 2026
2.4	1.8	499.5	4.4	30.1	95.0	23.1
2.2	1.8	500.4	4.4	30.1	94.7	23.2
2	1.8	499.8	4.4	30.2	95.1	23.2
1.8	1.8	500.5	4.3	30.3	94.7	23.0
1.6	1.8	499.7	4.0	30.3	95.0	22.8
1.4	1.8	500.6	4.4	30.4	94.6	23.0
1.2	1.8	500.4	4.2	30.4	94.9	22.7
1	1.8	501.2	4.3	30.3	94.3	22.8
0.8	1.8	500.6	4.2	30.4	94.7	22.7
0.6	1.8	501.2	4.4	30.4	94.2	22.8
0.4	1.8	500.5	4.2	30.3	94.7	22.4
0.2	1.8	501.1	4.2	30.2	94.2	22.3
0	1.8	501.1	4.3	30.3	94.2	22.3
-0.2	1.8	501.0	4.3	30.1	94.1	22.1
-0.4	1.8	500.4	4.2	29.9	94.2	22.0
-0.6	1.8	500.6	4.3	30.3	94.5	22.1
-0.8	1.8	500.2	4.3	30.1	94.2	21.9
-1	1.8	499.7	4.3	29.9	94.8	21.8
-1.2	1.8	500.5	3.9	29.5	93.8	21.7
-1.4	1.8	500.4	4.2	29.7	94.0	21.6
-1.6	1.8	499.9	4.3	29.8	94.9	21.6
-1.8	1.8	499.6	4.4	30.1	95.2	21.4
-2	1.8	499.6	4.4	29.8	95.0	21.4
-2.2	1.8	496.6	5.8	30.0	97.6	22.2
-2.4	1.8	497.9	4.3	29.4	96.3	21.1
-2.6	1.8	498.5	4.5	29.6	95.9	20.7
-2.8	1.8	498.6	4.5	29.5	95.3	20.2
-3	1.8	497.7	4.5	29.7	94.9	19.8
-3	1.6	498.3	4.6	29.7	95.0	19.8
-2.8	1.6	499.0	4.6	29.8	94.8	20.3
-2.6	1.6	498.8	4.5	29.6	95.3	20.5
-2.4	1.6	499.0	4.4	29.6	95.1	21.0
-2.2	1.6	499.4	4.4	29.8	94.9	21.1
-2	1.6	500.0	4.3	29.8	94.3	21.3
-1.8	1.6	500.3	4.4	29.8	94.3	21.5
-1.6	1.6	499.6	4.3	30.1	94.9	21.4
-1.4	1.6	500.3	4.3	29.9	94.4	21.5
-1.2	1.6	500.3	4.2	29.9	94.1	21.6
-1	1.6	500.4	4.3	30.2	94.5	21.8
-0.8	1.6	500.1	4.2	30.0	94.6	21.6
-0.6	1.6	500.8	4.1	30.2	93.9	21.7
-0.4	1.6	500.5	4.2	30.0	94.0	21.9
-0.2	1.6	500.6	4.1	30.2	94.3	22.0
0	1.6	501.2	4.3	30.2	94.0	22.3
0.2	1.6	501.0	4.2	30.2	94.3	22.1
0.4	1.6	500.8	4.3	30.1	94.4	22.3
0.6	1.6	500.9	4.4	30.3	94.3	22.4
0.8	1.6	500.2	4.3	30.4	94.8	22.4
1	1.6	500.8	4.1	30.3	94.4	22.7
1.2	1.6	500.3	4.2	30.4	95.0	22.6
1.4	1.6	500.2	4.1	30.3	94.7	22.6
1.6	1.6	500.7	4.2	30.3	94.5	22.7
1.8	1.6	500.7	4.2	30.2	94.3	22.8
2	1.6	500.5	4.3	30.1	94.6	22.9
2.2	1.6	500.3	4.3	30.0	94.9	22.9
2.4	1.6	500.6	4.4	30.1	94.2	23.0
2.6	1.6	500.4	4.4	29.9	94.3	23.0
2.8	1.6	500.1	4.4	30.0	94.2	23.1
3	1.6	499.4	4.3	29.9	94.7	22.8
3.2	1.4	499.6	4.4	30.0	94.2	22.7
3	1.4	499.8	4.5	30.0	94.8	22.8
2.8	1.4	500.7	4.3	30.3	94.3	22.9
2.6	1.4	500.1	4.1	30.1	94.7	22.9
2.4	1.4	500.3	4.3	30.2	94.8	22.7
2.2	1.4	500.6	4.4	30.1	94.4	22.8
2	1.4	500.8	4.4	30.4	94.5	22.7
1.8	1.4	500.6	4.3	30.3	94.5	22.7
1.6	1.4	500.4	4.1	30.1	94.9	22.5
1.4	1.4	500.5	4.3	30.2	94.8	22.5
1.2	1.4	500.9	4.1	30.2	94.6	22.3
1	1.4	500.7	4.3	30.1	94.4	22.4
0.8	1.4	500.9	4.2	30.1	94.2	22.3
0.6	1.4	501.2	4.2	30.2	94.1	22.3
0.4	1.4	500.8	4.3	30.1	94.5	22.1
0.2	1.4	500.8	4.2	30.0	94.2	22.0
0	1.4	501.0	4.2	30.4	94.2	21.8
-0.2	1.4	500.8	4.2	30.2	94.0	21.9
-0.4	1.4	500.5	4.3	30.2	94.0	21.8
-0.6	1.4	500.7	4.1	29.9	93.9	21.7
-0.8	1.4	500.2	4.3	30.0	94.2	21.7
-1	1.4	500.1	4.4	29.9	94.2	21.5
-1.2	1.4	500.5	4.4	29.8	94.2	21.5
-1.6	1.4	500.5	4.2	29.8	93.7	21.3
-1.8	1.4	499.7	4.4	29.7	94.4	21.2
-2	1.4	499.7	4.4	29.8	94.5	21.0
-2.2	1.4	499.6	4.1	29.7	93.8	20.9
-2.4	1.4	500.0	4.2	29.7	94.1	20.5
-2.6	1.4	499.3	4.3	29.7	94.4	20.5
-2.8	1.4	499.2	4.5	29.7	94.7	20.2
-3	1.4	498.3	4.5	29.6	94.9	19.8
-3.2	1.4	497.0	4.5	29.5	95.2	19.0
-3.2	1.2	497.9	4.8	29.6	94.6	19.2
-3	1.2	498.6	4.6	29.8	94.6	19.9
-2.8	1.2	499.0	4.5	29.8	94.7	20.3
-2.6	1.2	499.2	4.4	30.0	94.5	20.5
-2.4	1.2	499.5	4.3	30.0	94.3	20.6
-2.2	1.2	499.2	4.3	30.0	94.5	20.8
-2	1.2	499.6	4.4	29.9	94.3	21.1
-1.8	1.2	499.6	4.3	30.0	94.2	21.0
-1.6	1.2	499.6	4.3	30.0	94.3	21.2
-1.4	1.2	500.2	4.3	30.1	93.7	21.4
-1.2	1.2	499.9	4.4	29.9	94.4	21.3
-1	1.2	500.3	4.3	30.2	94.0	21.5
-0.8	1.2	500.7	4.3	30.3	93.8	21.6
-0.6	1.2	500.5	4.3	30.2	93.9	21.7
-0.4	1.2	500.2	4.3	30.3	94.3	21.7
-0.2	1.2	500.9	4.3	30.3	93.8	21.8
0	1.2	500.9	4.4	30.4	94.0	22.0
0.2	1.2	500.7	4.4	30.4	94.3	22.0
0.4	1.2	500.9	4.3	30.4	94.0	22.2
0.6	1.2	500.1	4.4	30.2	94.8	22.2
1	1.2	500.8	4.4	30.3	94.3	22.4
1.2	1.2	500.9	4.2	30.4	94.2	22.5
1.4	1.2	500.7	4.3	30.4	94.6	22.5
1.6	1.2	500.7	4.2	30.7	94.5	22.6
1.8	1.2	500.4	4.4	30.4	95.0	22.7
2	1.2	500.8	4.4	30.6	94.5	22.8
2.2	1.2	500.5	4.3	30.6	94.5	22.8
2.4	1.2	501.0	4.4	30.5	94.3	23.0
2.6	1.2	500.1	4.5	30.4	94.9	23.0
2.8	1.2	500.1	4.5	30.4	94.7	23.0
3	1.2	499.6	4.4	30.3	95.2	23.0
3.2	1.2	499.5	4.6	30.2	94.7	23.0
3.4	1	496.8	4.6	29.4	97.0	22.6
3.2	1	500.1	4.5	30.3	94.5	23.0
3	1	500.8	4.6	30.5	94.4	23.1
2.8	1	500.6	4.4	30.3	94.5	23.1
2.6	1	500.2	4.0	30.1	94.3	22.7
2.4	1	500.2	4.4	30.7	95.2	22.8
2.2	1	500.6	4.5	30.5	94.7	22.9
2	1	498.6	4.4	29.9	96.9	22.7
1.8	1	501.1	4.4	30.6	94.4	22.7
1.6	1	501.2	4.4	30.8	94.1	22.9
1.4	1	499.9	4.4	30.2	95.1	22.5
1.2	1	500.3	4.3	30.3	94.6	22.3
1	1	499.8	4.3	30.5	95.1	22.3
0.8	1	500.8	4.5	30.3	94.4	22.2
0.6	1	500.5	4.5	30.3	94.5	22.1
0.4	1	500.7	4.4	30.4	94.5	22.1
0.2	1	499.9	4.4	30.6	95.0	21.9
0	1	500.6	4.5	30.6	94.3	22.0
-0.2	1	500.9	4.3	30.6	93.8	21.8
-0.4	1	500.5	4.3	30.5	94.2	21.8
-0.6	1	500.3	4.4	30.3	94.3	21.6
-0.8	1	500.1	4.2	30.3	94.2	21.5
-1	1	499.5	4.5	30.3	94.7	21.4
-1.2	1	499.9	4.6	30.3	94.3	21.4
-1.4	1	499.3	4.4	30.2	94.5	21.3
-1.6	1	499.8	4.5	30.4	94.3	21.2
-1.8	1	499.8	4.5	30.4	93.9	21.2
-2	1	499.9	4.4	30.3	93.7	21.2
-2.2	1	499.4	4.3	30.3	94.0	20.9
-2.4	1	499.2	4.5	30.2	94.2	20.9
-2.6	1	499.2	4.5	30.2	94.1	20.8
-2.8	1	498.9	4.7	29.9	94.9	20.5
-3	1	498.4	4.7	30.1	94.7	20.0
-3.2	1	497.8	5.0	30.3	94.9	19.4
-3.4	1	497.1	5.0	29.6	94.4	19.0
-3.4	0.8	496.7	4.9	29.8	94.8	18.9
-3.2	0.8	497.6	4.8	30.1	94.7	19.5
-3	0.8	498.5	4.8	30.1	94.3	20.0
-2.8	0.8	498.6	4.7	30.2	94.6	20.3
-2.6	0.8	499.3	4.6	30.2	94.1	20.5
-2.4	0.8	499.1	4.6	30.3	94.4	20.6
-2.2	0.8	499.5	4.5	30.2	94.2	20.9
-2	0.8	499.7	4.6	30.5	94.1	21.0
-1.8	0.8	499.6	4.2	30.3	94.1	20.8
-1.6	0.8	499.5	4.4	30.3	94.1	21.0
-1.4	0.8	499.6	4.4	30.1	94.2	21.2
-1.2	0.8	499.8	4.2	30.3	94.3	21.2
-1	0.8	499.5	4.4	30.4	94.5	21.4
-0.8	0.8	499.6	4.4	30.4	94.4	21.3
-0.6	0.8	500.6	4.6	30.4	93.9	21.6
-0.4	0.8	500.6	4.3	30.6	93.9	21.5
-0.2	0.8	500.8	4.2	30.5	93.6	21.7
0	0.8	501.2	4.5	30.7	93.7	21.8
0.2	0.8	500.7	4.5	30.5	94.1	21.8
0.4	0.8	500.4	4.3	30.3	94.2	21.9
0.6	0.8	500.5	4.2	30.2	94.0	22.0
0.8	0.8	500.0	4.5	30.3	95.0	22.1
1	0.8	500.7	4.4	30.4	94.8	22.1
1.2	0.8	501.4	4.6	30.6	94.0	22.4
1.4	0.8	497.0	4.3	29.8	98.2	22.2
1.6	0.8	500.6	4.4	30.5	94.6	22.5
1.8	0.8	500.8	4.4	30.4	94.6	22.5
2	0.8	500.3	4.3	30.5	94.9	22.6
2.2	0.8	500.1	4.4	30.5	95.1	22.6
2.4	0.8	500.8	4.5	30.5	94.4	23.0
2.6	0.8	500.5	4.4	30.5	94.6	22.9
2.8	0.8	500.2	4.7	30.5	95.1	22.9
3	0.8	500.8	4.6	30.4	94.4	23.0
3.2	0.8	500.2	4.6	30.3	94.5	23.0
3.4	0.8	499.2	4.6	29.9	95.0	22.8
3.4	0.6	499.4	4.7	29.8	95.3	22.6
3.2	0.6	499.6	4.6	30.3	95.4	22.8
3	0.6	500.6	4.6	30.4	94.7	22.8
2.8	0.6	500.5	4.7	30.5	94.8	22.8
2.6	0.6	500.7	4.5	30.5	94.4	22.8
2.4	0.6	500.2	4.3	30.5	94.8	22.4
2.2	0.6	500.7	4.4	30.6	94.6	22.5
2	0.6	500.6	4.2	30.7	94.6	22.2
1.8	0.6	501.2	4.3	30.6	94.4	22.3
1.6	0.6	500.8	4.3	30.4	94.3	22.2
1.4	0.6	500.4	4.3	30.5	94.7	22.2
1.2	0.6	501.0	4.3	30.4	94.2	22.2
0.8	0.6	501.0	4.3	30.5	93.7	21.9
0.6	0.6	500.4	4.4	30.4	94.3	21.7
0.4	0.6	501.1	4.3	30.5	93.6	21.7
0.2	0.6	500.5	4.3	30.4	94.0	21.6
0	0.6	500.9	4.4	30.7	93.9	21.4
-0.2	0.6	500.5	4.2	30.4	93.9	21.3
-0.4	0.6	500.3	4.2	30.2	93.9	21.2
-0.6	0.6	500.4	4.2	30.4	93.6	21.2
-0.8	0.6	499.8	4.4	30.4	93.9	21.1
-1	0.6	499.5	4.3	30.2	94.2	21.0
-1.2	0.6	499.7	4.2	30.2	94.0	20.8
-1.4	0.6	499.3	4.4	30.1	94.2	20.8
-1.6	0.6	499.5	4.4	30.1	94.0	20.8
-1.8	0.6	500.2	4.3	30.3	93.7	20.6
-2	0.6	499.8	4.1	30.2	93.4	20.4
-2.2	0.6	499.3	4.4	30.1	93.9	20.5
-2.4	0.6	499.4	4.4	30.0	93.8	20.4
-2.6	0.6	499.1	4.5	29.8	94.0	20.3
-2.8	0.6	498.6	4.4	30.0	93.9	20.0
-3	0.6	498.9	4.6	29.9	93.7	19.6
-3.2	0.6	498.4	4.4	29.8	93.9	19.3
-3.4	0.6	496.8	4.6	29.5	94.4	18.7
-3.4	0.4	496.5	4.6	29.6	95.0	18.4
-3.2	0.4	498.3	4.6	29.8	94.1	19.2
-3	0.4	498.7	4.4	29.8	93.9	19.7
-2.8	0.4	498.9	4.4	30.1	94.0	19.8
-2.6	0.4	498.9	4.3	30.1	93.9	20.0
-2.4	0.4	499.1	4.4	30.0	93.8	20.1
-2.2	0.4	499.5	4.6	30.0	93.4	20.5
-2	0.4	499.2	4.3	30.1	93.9	20.3
-1.8	0.4	499.8	4.2	30.1	93.4	20.4
-1.6	0.4	499.7	4.3	30.1	93.5	20.5
-1.4	0.4	499.1	4.3	29.6	93.5	20.3
-1.2	0.4	499.8	4.3	30.1	93.4	20.7
-1	0.4	499.5	4.2	29.9	93.8	20.6
-0.8	0.4	500.0	4.4	30.3	93.5	20.8
-0.6	0.4	499.8	4.3	30.1	93.8	20.9
-0.4	0.4	500.2	4.2	30.2	93.5	21.0
-0.2	0.4	500.6	4.1	30.5	93.2	21.1
0	0.4	500.7	4.1	30.5	93.5	21.2
0.2	0.4	500.9	4.2	30.5	93.3	21.4
0.4	0.4	500.2	4.3	30.1	94.2	21.5
0.6	0.4	500.7	4.4	30.3	93.7	21.5
0.8	0.4	500.9	4.4	30.4	93.7	21.7
1	0.4	501.1	4.2	30.4	93.7	21.6
1.2	0.4	501.5	4.3	30.4	93.7	21.8
1.4	0.4	501.2	4.3	30.4	94.0	21.8
1.6	0.4	500.7	4.3	30.4	94.5	21.9
1.8	0.4	500.6	4.1	30.3	94.4	21.9
2	0.4	500.9	4.0	30.3	94.1	22.1
2.2	0.4	500.6	4.3	30.2	94.5	22.3
2.4	0.4	500.4	4.4	30.3	94.6	22.4
2.6	0.4	500.7	4.3	30.2	94.0	22.4
2.8	0.4	500.5	4.4	30.3	94.2	22.5
3	0.4	500.6	4.6	30.1	94.3	22.6
3.2	0.4	500.2	4.6	30.2	94.9	22.5
3.4	0.4	499.6	4.6	29.9	94.9	22.4
3.4	0.2	500.2	4.5	30.0	94.1	22.4
3.2	0.2	500.8	4.7	30.2	94.5	22.3
3	0.2	500.2	4.7	30.1	95.0	22.3
2.8	0.2	501.1	4.5	30.2	94.0	22.4
2.6	0.2	501.3	4.4	30.4	93.9	22.2
2.4	0.2	500.4	4.2	30.3	94.7	22.1
2.2	0.2	501.1	4.1	30.3	94.1	22.0
2	0.2	500.5	4.3	30.4	94.5	21.9
1.8	0.2	500.7	4.1	30.3	94.3	21.6
1.6	0.2	500.4	4.0	30.0	94.7	21.7
1.4	0.2	501.1	4.1	30.3	93.7	21.8
1.2	0.2	501.2	4.3	30.3	93.6	21.6
1	0.2	501.1	4.2	30.4	93.1	21.5
0.8	0.2	500.9	4.3	30.3	93.2	21.4
0.6	0.2	500.9	4.3	30.4	93.5	21.3
0.4	0.2	500.9	4.2	30.2	93.3	21.2
0.2	0.2	500.8	4.2	30.4	93.2	21.1
0	0.2	500.8	4.1	30.3	93.4	20.9
-0.2	0.2	500.8	3.9	28.8	91.9	20.6
-0.4	0.2	500.0	4.1	30.1	93.4	20.7
-0.6	0.2	500.7	4.1	30.1	92.7	20.7
-0.8	0.2	499.9	4.2	30.2	93.5	20.4
-1	0.2	499.7	3.9	29.2	92.9	20.1
-1.2	0.2	499.1	4.1	29.8	93.7	20.3
-1.4	0.2	499.8	4.3	29.8	93.2	20.3
-1.6	0.2	499.3	4.3	30.0	93.6	20.0
-1.8	0.2	499.5	4.2	30.0	93.2	20.2
-2	0.2	499.2	4.2	29.9	93.3	20.1
-2.2	0.2	499.1	4.3	29.9	93.5	19.9
-2.4	0.2	499.4	4.1	30.0	93.2	19.8
-2.6	0.2	499.0	4.3	29.8	93.5	19.7
-2.8	0.2	498.9	4.2	29.8	93.3	19.4
-3	0.2	498.6	4.3	29.7	93.5	19.3
-3.2	0.2	497.9	4.4	29.6	94.0	18.9
-3.4	0.2	494.1	4.8	29.1	97.2	18.2
-3.4	0	496.7	4.6	29.5	94.2	18.1
-3.2	0	497.8	4.4	29.7	93.7	18.6
-3	0	498.2	4.5	29.6	93.5	19.1
-2.8	0	498.5	4.2	29.8	93.3	19.3
-2.6	0	499.7	4.3	29.8	92.5	19.5
-2.4	0	499.2	4.3	30.0	93.2	19.5
-2.2	0	499.5	4.3	30.0	93.1	19.7
-2	0	499.3	4.2	30.0	93.2	19.9
-1.8	0	499.6	4.1	30.2	93.0	20.0
-1.6	0	499.4	4.3	30.1	93.3	20.1
-1.4	0	499.5	4.4	30.2	93.4	20.2
-1.2	0	500.3	4.2	30.2	92.8	20.2
-1	0	500.3	4.2	30.2	93.0	20.4
-0.8	0	500.7	4.2	30.2	92.7	20.4
-0.6	0	500.1	4.0	30.2	93.2	20.5
-0.4	0	500.6	4.2	30.2	93.2	20.6
-0.2	0	500.1	4.2	30.4	93.4	20.7
0	0	500.8	4.2	30.3	93.0	20.9
0.2	0	501.0	4.1	30.4	93.0	20.8
0.4	0	501.0	4.2	30.3	93.2	21.0
0.6	0	501.0	4.2	30.1	93.2	21.1
0.8	0	500.8	4.2	30.4	93.5	21.3
1	0	500.9	4.3	30.2	93.2	21.5
1.2	0	501.7	4.1	30.5	92.9	21.6
1.4	0	501.4	4.1	30.4	93.4	21.5
1.6	0	501.4	4.2	30.4	93.4	21.7
1.8	0	501.4	4.1	30.3	93.5	21.7
