Blue Ridge Optics, Hamilton College, June 2026						
LiF on 3-inch Fused Silica wafer. WA0904 Labeled Sample						Map 2, July 29, 2026
Used RC2XF Small Spot Ellipsometer with focused beam						Wafer Flat at 12:00
LiF Film Thickness in nm vs. Position						
X (cm)	Y (cm)	LiF Film Thickness, nm	LiF Grading, %	Roughness, nm	Interlayer Thickness # 1, nm	Interlayer EMA Void, %
1	3.4	497.0	4.2	29.2	94.8	22.4
0.8	3.4	495.6	4.4	28.5	96.6	22.4
0.6	3.4	495.4	4.4	28.9	97.3	22.5
0.4	3.4	496.7	4.3	28.6	96.1	22.5
0.2	3.4	498.0	4.1	28.7	94.7	22.7
0	3.4	499.3	4.2	29.0	93.6	22.6
-0.2	3.4	499.1	4.1	28.8	93.6	22.7
-0.4	3.4	497.9	4.1	28.6	94.8	22.5
-0.6	3.4	495.9	4.3	28.6	96.7	22.3
-1	3.4	495.1	4.2	28.5	97.0	21.7
-1.4	3.2	497.4	4.2	28.9	95.6	22.0
-1.2	3.2	497.6	4.4	29.1	95.7	22.2
-1	3.2	495.6	4.3	28.6	97.7	22.3
-0.8	3.2	496.9	4.4	28.8	96.7	22.4
-0.6	3.2	495.0	4.4	28.5	98.6	22.3
-0.4	3.2	499.0	4.3	29.3	94.6	22.6
-0.2	3.2	499.5	4.1	29.6	94.4	22.8
0	3.2	499.2	4.1	29.6	94.4	22.9
0.2	3.2	498.6	4.2	29.5	95.3	22.7
0.6	3.2	498.4	4.2	29.5	95.0	22.8
1	3.2	498.2	4.2	29.8	95.0	22.5
1.2	3.2	497.5	4.2	29.5	95.1	22.8
1.4	3.2	497.1	4.0	29.3	95.1	22.2
1.8	3	496.5	4.1	29.4	94.5	22.6
1.6	3	497.3	4.2	29.6	94.9	22.8
1.4	3	497.8	4.3	29.9	95.2	22.9
1.2	3	498.5	4.1	29.8	94.5	23.1
1	3	499.0	4.3	30.0	94.6	23.3
0.8	3	498.8	4.3	30.1	95.1	23.0
0.6	3	499.4	4.3	30.0	94.8	23.1
0.4	3	497.4	4.3	29.4	96.4	22.9
0.2	3	499.1	4.4	29.6	95.2	22.9
0	3	499.5	4.3	29.7	94.9	23.0
-0.2	3	499.7	4.3	29.8	95.0	22.8
-0.4	3	499.1	4.4	29.6	95.4	22.8
-0.6	3	498.5	4.4	29.6	96.3	22.5
-0.8	3	499.6	4.5	30.0	95.4	22.5
-1	3	499.8	4.5	30.1	95.3	22.5
-1.2	3	498.9	4.5	29.9	96.0	22.2
-1.4	3	498.8	4.5	29.6	95.9	22.1
-1.6	3	497.8	4.3	29.1	96.0	22.1
-1.8	3	495.6	4.4	28.8	97.6	21.8
-2	2.8	498.7	4.5	29.7	95.2	21.7
-1.8	2.8	498.5	4.5	29.6	95.8	22.0
-1.6	2.8	499.2	4.5	29.9	95.6	22.3
-1.4	2.8	496.4	4.8	29.1	98.9	22.0
-1.2	2.8	499.5	4.6	30.1	96.0	22.2
-0.8	2.8	499.5	4.6	30.3	95.8	22.6
-0.6	2.8	497.7	4.7	30.9	97.2	23.2
-0.4	2.8	499.7	4.5	30.1	95.1	23.0
-0.2	2.8	500.1	4.2	30.1	94.6	22.9
0	2.8	499.6	4.4	30.1	95.1	23.1
0.2	2.8	495.7	4.6	29.2	98.7	22.7
0.4	2.8	498.9	4.4	29.9	95.8	23.1
0.6	2.8	499.9	4.4	30.4	95.0	23.2
0.8	2.8	499.5	4.4	30.3	95.2	23.2
1	2.8	499.3	4.4	30.4	95.1	23.2
1.2	2.8	499.3	4.3	30.4	94.8	23.4
1.4	2.8	498.9	4.4	30.5	95.1	23.3
1.6	2.8	498.5	4.2	30.4	94.9	23.1
1.8	2.8	497.9	4.3	30.1	95.2	23.2
2	2.8	497.3	4.3	29.9	95.0	23.1
2.4	2.6	497.1	4.4	29.8	94.8	23.1
2.2	2.6	497.8	4.5	30.0	95.1	23.3
2	2.6	498.0	4.5	30.1	95.4	23.3
1.8	2.6	498.6	4.4	30.6	95.2	23.3
1.6	2.6	498.8	4.4	30.3	95.2	23.3
1.4	2.6	499.3	4.3	30.5	95.2	23.4
1.2	2.6	499.5	4.3	30.4	95.2	23.4
1	2.6	499.8	4.4	30.4	95.2	23.3
0.8	2.6	500.1	4.5	30.3	95.1	23.4
0.6	2.6	500.4	4.5	30.6	94.9	23.4
0.4	2.6	500.3	4.5	30.6	95.2	23.5
0.2	2.6	500.3	4.4	30.4	94.9	23.3
0	2.6	500.3	4.4	30.1	94.8	23.1
-0.2	2.6	500.3	4.3	30.2	94.8	23.0
-0.4	2.6	500.3	4.4	30.5	94.9	23.0
-0.6	2.6	500.2	4.7	30.4	95.2	23.1
-0.8	2.6	500.6	4.5	30.3	94.7	22.9
-1	2.6	499.8	4.7	30.1	95.8	22.5
-1.2	2.6	500.0	4.6	30.3	95.5	22.5
-1.4	2.6	499.4	4.6	30.3	95.8	22.5
-1.6	2.6	499.8	4.6	30.0	95.5	22.2
-1.8	2.6	499.6	4.6	30.1	95.4	22.3
-2	2.6	499.6	4.3	29.9	94.8	22.0
-2.2	2.6	499.0	4.4	29.7	95.2	21.9
-2.4	2.6	498.2	4.3	29.7	95.3	21.4
-2.6	2.4	498.4	4.4	29.6	95.1	21.2
-2.4	2.4	499.2	4.6	30.0	95.4	21.5
-2.2	2.4	499.8	4.5	30.1	95.2	21.6
-2	2.4	499.0	4.9	30.1	96.4	21.8
-1.8	2.4	499.1	4.7	30.2	96.2	21.9
-1.6	2.4	499.8	4.5	30.3	95.5	22.2
-1.4	2.4	499.5	4.6	30.3	96.1	22.2
-1.2	2.4	500.1	4.7	30.3	95.4	22.4
-0.8	2.4	500.3	4.6	30.4	95.1	22.8
-0.6	2.4	500.0	4.4	30.1	95.2	22.7
-0.4	2.4	500.1	4.5	30.1	95.0	22.8
-0.2	2.4	500.3	4.4	30.3	95.0	22.8
0	2.4	500.1	4.3	30.4	95.1	23.0
0.2	2.4	500.1	4.4	30.4	95.0	23.1
0.4	2.4	500.2	4.6	30.4	95.3	23.2
0.6	2.4	500.0	4.4	30.4	95.2	23.0
0.8	2.4	499.8	4.2	30.6	95.1	23.2
1	2.4	500.2	4.4	30.5	94.9	23.4
1.2	2.4	500.3	4.4	30.4	94.7	23.5
1.4	2.4	499.7	4.4	30.5	95.3	23.4
1.6	2.4	499.4	4.3	30.4	95.2	23.4
1.8	2.4	499.2	4.4	30.4	95.4	23.3
2	2.4	499.1	4.4	30.5	94.9	23.4
2.2	2.4	498.8	4.5	30.2	95.0	23.5
2.4	2.4	498.0	4.5	30.1	95.0	23.3
2.6	2.4	497.3	4.5	29.8	95.2	23.2
2.6	2.2	498.3	4.3	30.1	94.8	23.3
2.4	2.2	498.8	4.2	30.2	94.9	23.2
2.2	2.2	499.2	4.3	30.3	94.8	23.3
2	2.2	499.4	4.3	30.4	94.9	23.4
1.8	2.2	500.1	4.3	30.4	94.7	23.4
1.6	2.2	499.5	4.3	30.5	95.5	23.2
1.4	2.2	500.2	4.6	30.4	95.0	23.3
1.2	2.2	500.2	4.3	30.5	94.9	23.2
1	2.2	500.7	4.3	30.5	94.7	23.2
0.8	2.2	500.2	4.4	30.3	95.1	23.1
0.6	2.2	500.6	4.4	30.4	94.8	23.1
0.4	2.2	500.3	4.2	30.2	94.8	22.7
0.2	2.2	499.5	4.6	30.0	96.2	22.8
0	2.2	500.9	4.3	30.3	94.4	23.0
-0.2	2.2	500.3	4.3	30.1	94.8	22.7
-0.4	2.2	500.2	4.4	30.2	94.9	22.6
-0.6	2.2	500.0	4.3	29.9	94.8	22.6
-0.8	2.2	500.6	4.4	30.1	94.4	22.6
-1	2.2	500.3	4.6	30.2	94.9	22.5
-1.2	2.2	500.1	4.5	30.1	94.8	22.4
-1.4	2.2	498.6	4.6	29.8	96.2	22.2
-1.6	2.2	500.4	4.5	30.2	94.7	22.0
-1.8	2.2	499.3	4.5	30.0	95.5	21.8
-2	2.2	499.8	4.6	30.0	95.3	21.6
-2.2	2.2	499.8	4.6	30.0	95.1	21.5
-2.4	2.2	499.3	4.5	29.9	95.6	21.3
-2.6	2.2	499.3	4.4	29.7	94.9	21.3
-2.8	2	498.9	4.4	29.7	95.2	20.6
-2.6	2	498.3	4.5	29.6	96.0	21.0
-2.4	2	498.8	4.4	29.6	96.0	21.2
-2.2	2	499.7	4.8	30.0	95.6	21.3
-2	2	499.3	4.7	30.1	95.8	21.4
-1.8	2	500.0	4.5	29.9	94.7	21.8
-1.6	2	500.3	4.3	30.2	94.5	21.9
-1.4	2	500.1	4.5	30.2	94.6	22.0
-1.2	2	500.3	4.4	30.0	94.5	22.2
-1	2	500.5	4.5	29.9	94.4	22.3
-0.8	2	500.3	4.3	30.1	94.3	22.3
-0.6	2	500.5	4.3	30.2	94.5	22.2
-0.4	2	500.6	4.2	30.0	94.3	22.2
-0.2	2	500.6	4.4	30.1	94.6	22.5
0	2	500.3	4.3	30.2	94.5	22.6
0.2	2	500.6	4.4	30.3	94.5	22.7
0.4	2	501.2	4.5	30.4	94.1	22.8
0.6	2	500.3	4.4	30.5	94.9	22.9
0.8	2	500.6	4.3	30.5	94.7	22.9
1	2	500.8	4.3	30.4	94.6	22.8
1.2	2	500.4	4.3	30.2	94.9	23.0
1.4	2	500.5	4.3	30.3	94.7	23.0
1.6	2	500.1	4.3	30.4	95.0	23.1
1.8	2	500.1	4.4	30.3	94.9	23.2
2	2	500.3	4.3	30.3	94.7	23.2
2.2	2	500.0	4.4	30.2	94.4	23.2
2.4	2	499.9	4.3	30.4	94.5	23.2
2.6	2	498.6	4.4	30.0	95.1	23.2
2.8	2	498.4	4.3	29.8	95.1	22.9
3	1.8	498.6	4.4	29.8	94.8	22.8
2.8	1.8	498.9	4.4	30.1	95.1	23.0
2.6	1.8	499.3	4.2	30.4	95.1	23.0
