Blue Ridge Optics, November 2025				
Serial 001: LiF on 3-inch Silicon Wafer. With visibly hazy areas				
Used RC2XF Small Spot Ellipsometer with focused beam				
LiF Film Thickness in nm vs. Position				
X(cm)	Y(cm)	LiF_Thickness,nm	LiF_n@632.8nm	Roughness,nm
-1	2	561.23	1.376	12.75
-0.8	2	561.62	1.376	12.56
-0.6	2	561.82	1.375	12.62
-0.4	2	561.68	1.375	12.55
-0.2	2	561.56	1.375	12.69
0	2	561.64	1.375	12.27
0.2	2	561.32	1.375	12.87
0.4	2	561.52	1.375	12.13
0.6	2	561.20	1.375	12.23
0.8	2	561.54	1.374	11.84
1	2	560.71	1.376	11.99
1.2	2	560.59	1.376	11.92
1.4	2	560.69	1.375	12.08
1.6	2	560.39	1.375	12.97
1.8	2	559.94	1.375	11.37
2	2	559.94	1.375	11.34
2.2	2	560.03	1.375	10.86
2.4	2	559.18	1.375	11.21
2.6	2	559.54	1.376	11.24
2.8	2	559.57	1.376	10.41
3	1.8	558.88	1.376	10.41
2.8	1.8	560.04	1.375	11.66
2.6	1.8	559.12	1.376	11.12
2.4	1.8	559.22	1.376	13.13
2.2	1.8	560.11	1.375	10.88
2	1.8	560.26	1.375	12.16
1.8	1.8	559.77	1.376	12.73
1.6	1.8	560.82	1.375	12.23
1.4	1.8	560.63	1.375	11.56
1.2	1.8	560.77	1.376	12.35
1	1.8	560.68	1.375	11.73
0.8	1.8	560.97	1.375	11.89
0.6	1.8	561.24	1.375	12.58
0.4	1.8	560.85	1.376	12.49
0.2	1.8	561.21	1.376	11.93
0	1.8	561.09	1.375	12.47
-0.2	1.8	561.17	1.376	12.71
-0.4	1.8	561.80	1.375	12.59
-0.6	1.8	562.07	1.375	12.43
-0.8	1.8	562.12	1.375	12.26
-1	1.8	561.75	1.375	12.87
-1.2	1.8	562.29	1.375	12.69
-1.4	1.8	562.20	1.376	12.82
-1.6	1.8	562.42	1.376	12.78
-1.8	1.8	561.95	1.376	13.06
-2	1.8	562.09	1.376	12.63
-2.2	1.8	563.76	1.375	15.00
-2.4	1.8	562.62	1.375	12.97
-2.6	1.8	562.28	1.376	12.57
-2.8	1.8	562.31	1.377	12.10
-3	1.8	562.27	1.378	11.96
-3	1.6	561.64	1.378	11.75
-2.8	1.6	561.94	1.377	12.65
-2.6	1.6	562.64	1.376	12.74
-2.4	1.6	562.58	1.376	13.07
-2.2	1.6	562.57	1.375	13.21
-2	1.6	562.15	1.376	13.05
-1.8	1.6	562.22	1.375	13.00
-1.6	1.6	562.41	1.375	12.72
-1.4	1.6	562.23	1.376	12.70
-1.2	1.6	561.85	1.376	12.58
-1	1.6	562.46	1.375	12.26
-0.8	1.6	562.10	1.375	12.54
-0.6	1.6	562.09	1.375	12.41
-0.4	1.6	562.04	1.375	12.56
-0.2	1.6	561.41	1.375	12.74
0	1.6	561.42	1.375	12.35
0.2	1.6	560.87	1.375	12.22
0.4	1.6	561.31	1.375	12.01
0.6	1.6	561.08	1.376	12.67
0.8	1.6	561.02	1.376	13.05
1	1.6	560.75	1.375	11.75
1.2	1.6	561.22	1.375	11.53
1.4	1.6	560.95	1.375	12.70
1.6	1.6	560.33	1.376	11.50
