Blue Ridge Optics, November 2025				
Serial 001: LiF on 3-inch Silicon Wafer. With visibly hazy areas				
Used RC2XF Small Spot Ellipsometer with focused beam				
LiF Film Thickness in nm vs. Position				
X(cm)	Y(cm)	LiF_Thickness,nm	LiF_n@632.8nm	Roughness,nm
1.6	-1	560.66	1.376	11.81
1.4	-1	560.06	1.376	11.38
1.2	-1	559.91	1.377	12.38
1	-1	559.91	1.377	11.48
0.8	-1	560.01	1.377	11.43
0.6	-1	560.21	1.378	11.61
0.4	-1	560.97	1.377	11.25
0.2	-1	560.40	1.377	11.69
0	-1	561.06	1.377	11.33
-0.2	-1	561.80	1.376	11.52
-0.4	-1	560.71	1.378	11.72
-0.6	-1	561.92	1.376	11.53
-0.8	-1	562.02	1.376	11.55
-1	-1	561.78	1.377	11.55
-1.2	-1	562.01	1.376	11.70
-1.4	-1	561.36	1.377	11.60
-1.6	-1	561.15	1.377	11.59
-1.8	-1	561.57	1.377	11.72
-2	-1	561.69	1.377	12.00
-2.2	-1	562.33	1.377	12.56
-2.4	-1	562.29	1.377	12.21
-2.6	-1	562.10	1.377	12.48
-2.8	-1	561.46	1.380	11.75
-3	-1	561.82	1.379	11.73
-3.2	-1	561.60	1.379	12.16
-3.4	-1	560.70	1.381	11.28
-3.2	-1.2	560.93	1.380	11.56
-3	-1.2	562.09	1.378	12.11
-2.8	-1.2	562.41	1.378	12.06
-2.6	-1.2	562.61	1.377	12.21
-2.4	-1.2	562.23	1.378	11.68
-2.2	-1.2	562.16	1.378	11.67
-2	-1.2	562.02	1.378	12.78
-1.8	-1.2	561.69	1.377	11.62
-1.6	-1.2	561.91	1.376	11.56
-1.4	-1.2	561.48	1.376	11.71
-1.2	-1.2	561.81	1.376	11.71
-1	-1.2	561.67	1.377	11.67
-0.8	-1.2	561.63	1.377	11.24
-0.6	-1.2	561.64	1.377	11.77
-0.4	-1.2	561.98	1.376	11.63
-0.2	-1.2	561.54	1.376	11.68
0	-1.2	561.70	1.376	11.74
0.2	-1.2	560.81	1.377	11.60
0.4	-1.2	560.48	1.377	11.56
0.6	-1.2	560.41	1.377	11.32
0.8	-1.2	559.93	1.378	11.43
1	-1.2	560.12	1.377	11.46
1.2	-1.2	560.46	1.376	11.35
1.4	-1.2	560.90	1.375	11.27
1.6	-1.2	560.82	1.375	11.15
1.8	-1.2	560.19	1.375	11.41
2	-1.2	560.31	1.375	11.29
2.2	-1.2	559.80	1.375	11.33
2.4	-1.2	559.69	1.375	11.23
2.6	-1.2	560.27	1.374	11.50
2.8	-1.2	559.30	1.375	12.33
3	-1.2	558.75	1.376	11.11
3.2	-1.2	558.09	1.377	11.05
3.2	-1.4	558.88	1.376	10.97
3	-1.4	559.42	1.376	12.89
2.8	-1.4	558.87	1.376	11.38
2.6	-1.4	559.10	1.375	11.95
2.4	-1.4	562.24	1.378	17.18
2.2	-1.4	560.01	1.375	10.92
2	-1.4	560.19	1.375	10.78
1.8	-1.4	560.09	1.375	11.17
1.6	-1.4	560.41	1.375	11.13
1.4	-1.4	560.73	1.376	11.15
1.2	-1.4	560.58	1.376	11.45
1	-1.4	560.60	1.377	11.53
0.8	-1.4	560.90	1.376	11.76
0.6	-1.4	560.56	1.376	11.43
0.4	-1.4	560.62	1.377	11.46
0.2	-1.4	561.54	1.376	11.43
0	-1.4	561.19	1.377	11.92
-0.2	-1.4	561.38	1.377	11.65
-0.4	-1.4	561.79	1.376	11.85
-0.6	-1.4	561.91	1.376	12.16
-0.8	-1.4	562.27	1.376	11.65
-1	-1.4	561.88	1.376	11.62
-1.2	-1.4	562.46	1.377	11.91
-1.4	-1.4	562.06	1.377	11.40
-1.6	-1.4	562.59	1.377	11.81
-1.8	-1.4	562.29	1.377	11.62
-2	-1.4	563.11	1.376	11.66
-2.2	-1.4	561.93	1.378	11.61
-2.4	-1.4	561.17	1.379	11.44
-2.6	-1.4	562.15	1.378	11.78
-2.8	-1.4	562.90	1.379	13.39
-3	-1.4	561.89	1.378	11.55
-3.2	-1.4	561.18	1.379	11.29
-3	-1.6	561.16	1.378	11.57
-2.8	-1.6	562.79	1.377	11.63
-2.6	-1.6	562.05	1.379	11.96
-2.4	-1.6	561.19	1.379	10.74
-2.2	-1.6	561.51	1.378	11.35
-2	-1.6	562.13	1.377	12.52
-1.8	-1.6	562.64	1.377	12.15
-1.6	-1.6	562.57	1.376	11.62
-1.4	-1.6	562.35	1.376	11.81
-1.2	-1.6	562.37	1.376	11.90
-1	-1.6	561.90	1.377	12.06
-0.8	-1.6	563.05	1.375	11.50
-0.6	-1.6	562.38	1.376	11.35
-0.4	-1.6	561.59	1.377	11.19
-0.2	-1.6	561.78	1.377	11.60
0	-1.6	561.99	1.377	11.73
0.2	-1.6	562.02	1.377	12.22
0.4	-1.6	561.36	1.376	11.64
0.6	-1.6	560.15	1.377	11.95
0.8	-1.6	560.65	1.376	11.47
1	-1.6	566.99	1.381	10.15
1.2	-1.6	560.48	1.376	11.51
1.4	-1.6	560.59	1.376	11.74
1.6	-1.6	560.22	1.376	11.45
1.8	-1.6	560.26	1.375	11.18
2	-1.6	559.99	1.375	11.31
2.2	-1.6	559.72	1.375	11.37
2.4	-1.6	559.22	1.375	11.59
2.6	-1.6	559.39	1.375	11.34
2.8	-1.6	558.73	1.376	11.14
3	-1.6	558.17	1.376	10.74
3	-1.8	558.57	1.376	10.10
2.8	-1.8	558.86	1.377	10.41
2.6	-1.8	559.26	1.376	10.93
2.4	-1.8	559.52	1.375	10.89
2.2	-1.8	559.86	1.375	10.75
2	-1.8	560.30	1.375	11.14
1.8	-1.8	560.13	1.375	11.15
1.6	-1.8	560.07	1.376	11.40
1.4	-1.8	560.63	1.376	11.29
1.2	-1.8	560.76	1.376	11.50
1	-1.8	561.10	1.376	11.84
0.8	-1.8	561.12	1.376	11.79
0.6	-1.8	561.04	1.376	11.97
0.4	-1.8	561.91	1.375	11.93
0.2	-1.8	561.64	1.376	11.66
0	-1.8	562.92	1.376	12.79
-0.2	-1.8	562.18	1.377	11.43
-0.4	-1.8	561.77	1.377	12.06
-0.6	-1.8	562.51	1.376	11.65
-0.8	-1.8	562.19	1.376	11.55
-1	-1.8	562.51	1.376	11.35
-1.2	-1.8	562.39	1.376	11.57
-1.4	-1.8	562.84	1.376	12.17
-1.6	-1.8	563.05	1.376	11.67
-1.8	-1.8	562.55	1.377	11.27
-2	-1.8	561.66	1.378	11.49
-2.2	-1.8	560.95	1.379	11.12
-2.4	-1.8	560.57	1.380	10.68
-2.6	-1.8	559.57	1.382	10.93
-2.8	-1.8	561.18	1.378	11.87
-3	-1.8	560.77	1.379	10.93
-2.8	-2	560.95	1.379	10.98
-2.6	-2	560.46	1.381	10.40
-2.4	-2	559.68	1.381	10.83
-2.2	-2	560.60	1.379	11.00
-2	-2	563.73	1.378	11.76
-1.8	-2	562.49	1.377	12.14
-1.6	-2	562.29	1.377	12.10
-1.4	-2	561.68	1.378	11.29
-1.2	-2	561.90	1.377	11.47
-1	-2	562.78	1.376	11.75
-0.8	-2	562.68	1.376	12.06
-0.6	-2	562.39	1.376	12.09
-0.4	-2	561.87	1.377	11.75
-0.2	-2	561.40	1.379	12.46
0	-2	561.47	1.377	12.13
0.2	-2	561.64	1.376	12.19
0.4	-2	561.14	1.376	12.30
0.6	-2	561.36	1.376	12.28
0.8	-2	561.02	1.376	11.87
1	-2	561.09	1.375	11.47
1.2	-2	560.70	1.375	11.40
1.4	-2	560.40	1.376	11.53
1.6	-2	560.47	1.375	11.30
1.8	-2	559.99	1.376	11.33
2	-2	560.13	1.375	11.72
2.2	-2	559.58	1.376	11.35
2.4	-2	559.93	1.375	10.72
2.6	-2	558.97	1.377	10.62
2.8	-2	558.80	1.377	10.22
2.6	-2.2	558.87	1.377	10.12
2.4	-2.2	559.46	1.376	10.47
2.2	-2.2	559.52	1.376	10.95
2	-2.2	560.06	1.376	11.18
1.8	-2.2	560.01	1.376	11.12
1.6	-2.2	560.40	1.375	11.39
1.4	-2.2	560.99	1.375	11.24
1.2	-2.2	560.59	1.375	11.77
1	-2.2	560.37	1.376	12.16
0.8	-2.2	560.67	1.376	12.07
0.6	-2.2	561.47	1.375	11.87
0.4	-2.2	561.34	1.375	11.95
0.2	-2.2	561.18	1.376	11.83
0	-2.2	561.44	1.377	12.04
-0.2	-2.2	561.89	1.377	12.20
-0.4	-2.2	562.28	1.375	12.60
-0.6	-2.2	562.67	1.379	11.52
-0.8	-2.2	562.98	1.377	11.65
-1	-2.2	563.45	1.375	12.60
-1.2	-2.2	562.37	1.376	11.99
-1.4	-2.2	561.67	1.378	11.49
-1.6	-2.2	561.35	1.379	11.13
-1.8	-2.2	562.24	1.378	11.27
-2	-2.2	562.30	1.377	11.75
-2.2	-2.2	561.36	1.378	11.57
-2.4	-2.2	561.30	1.379	12.30
-2.6	-2.2	561.51	1.379	11.17
-2.6	-2.4	560.47	1.381	11.34
-2.4	-2.4	560.95	1.379	11.47
-2.2	-2.4	561.20	1.378	11.38
-2	-2.4	561.52	1.378	11.08
-1.8	-2.4	558.80	1.383	10.18
-1.6	-2.4	560.84	1.380	11.71
-1.4	-2.4	562.21	1.377	12.03
-1.2	-2.4	562.40	1.376	12.18
-1	-2.4	562.29	1.377	11.61
-0.8	-2.4	561.30	1.380	13.55
-0.6	-2.4	562.16	1.377	12.46
-0.4	-2.4	562.66	1.376	12.91
-0.2	-2.4	563.36	1.376	11.90
0	-2.4	561.87	1.376	12.16
0.2	-2.4	561.05	1.376	12.49
0.4	-2.4	561.67	1.375	11.87
0.6	-2.4	561.62	1.375	12.10
0.8	-2.4	562.06	1.375	11.91
1	-2.4	560.52	1.375	12.13
1.2	-2.4	560.30	1.376	12.46
1.4	-2.4	560.55	1.375	11.67
1.6	-2.4	560.59	1.375	11.39
1.8	-2.4	559.65	1.376	11.36
2	-2.4	559.96	1.376	11.24
2.2	-2.4	558.30	1.378	10.55
2.4	-2.4	558.60	1.379	10.32
2.6	-2.4	558.68	1.377	9.69
2.4	-2.6	559.08	1.376	10.20
2.2	-2.6	558.98	1.377	10.54
2	-2.6	559.04	1.377	10.91
1.8	-2.6	559.89	1.375	11.66
1.6	-2.6	560.44	1.375	11.66
1.4	-2.6	560.57	1.375	11.97
1.2	-2.6	560.61	1.375	11.87
1	-2.6	560.72	1.375	11.70
0.8	-2.6	561.20	1.375	12.02
0.6	-2.6	561.61	1.375	11.58
0.4	-2.6	561.10	1.376	11.92
0.2	-2.6	561.81	1.376	11.68
0	-2.6	562.42	1.375	12.51
-0.2	-2.6	562.30	1.376	11.77
-0.4	-2.6	561.91	1.376	12.17
-0.6	-2.6	561.85	1.377	12.07
-0.8	-2.6	560.79	1.381	14.80
-1	-2.6	562.67	1.376	12.92
-1.2	-2.6	562.15	1.377	11.59
-1.4	-2.6	562.41	1.377	11.81
-1.6	-2.6	562.73	1.378	11.86
-1.8	-2.6	558.74	1.383	9.92
-2	-2.6	558.69	1.382	10.39
-2.2	-2.6	561.33	1.379	11.18
-2.4	-2.6	560.68	1.380	10.95
-2	-2.8	555.96	1.386	9.23
-1.8	-2.8	560.12	1.380	10.54
-1.6	-2.8	561.87	1.378	11.32
-1.4	-2.8	561.60	1.378	11.63
-1.2	-2.8	562.35	1.377	12.24
-1	-2.8	561.69	1.378	12.03
-0.8	-2.8	562.10	1.377	12.03
-0.6	-2.8	561.94	1.376	12.46
-0.4	-2.8	561.45	1.376	12.42
-0.2	-2.8	561.95	1.376	11.97
0	-2.8	561.31	1.376	12.16
0.2	-2.8	562.34	1.375	12.33
0.4	-2.8	561.39	1.376	11.82
0.6	-2.8	561.70	1.375	11.64
0.8	-2.8	561.44	1.375	11.65
1	-2.8	561.56	1.375	11.61
1.2	-2.8	560.74	1.375	11.74
1.4	-2.8	560.80	1.375	11.70
1.6	-2.8	560.46	1.375	11.51
1.8	-2.8	560.15	1.376	10.89
2	-2.8	560.23	1.376	11.13
1.8	-3	560.61	1.376	10.56
1.6	-3	560.55	1.376	11.43
1.4	-3	561.33	1.375	11.06
1.2	-3	561.42	1.375	11.28
1	-3	561.43	1.375	11.21
0.8	-3	561.28	1.376	11.39
0.6	-3	561.53	1.375	11.83
0.4	-3	561.37	1.376	12.05
0.2	-3	561.75	1.375	11.72
0	-3	561.78	1.376	11.86
-0.2	-3	560.73	1.377	11.90
-0.4	-3	561.86	1.376	12.56
-0.6	-3	561.45	1.377	11.76
-0.8	-3	561.40	1.378	11.82
-1	-3	562.52	1.376	11.81
-1.2	-3	560.63	1.379	11.03
-1.4	-3	561.29	1.379	11.09
-1.6	-3	558.36	1.383	9.98
-1.8	-3	557.24	1.385	9.27
-1.4	-3.2	559.03	1.383	10.33
-1.2	-3.2	561.79	1.378	11.43
-1	-3.2	561.57	1.378	11.42
-0.8	-3.2	561.57	1.377	11.60
-0.6	-3.2	561.34	1.377	11.73
-0.4	-3.2	561.31	1.377	12.08
-0.2	-3.2	561.27	1.377	11.99
0	-3.2	561.05	1.377	12.52
0.2	-3.2	561.31	1.376	12.16
0.4	-3.2	560.83	1.377	12.39
0.6	-3.2	561.29	1.376	12.24
0.8	-3.2	561.47	1.376	11.98
1	-3.2	560.50	1.377	10.61
1.2	-3.2	560.77	1.376	11.32
1.4	-3.2	560.50	1.377	10.97
1	-3.4	559.60	1.379	9.66
0.8	-3.4	559.49	1.379	9.71
0.6	-3.4	561.43	1.377	11.48
0.4	-3.4	561.80	1.376	11.58
0.2	-3.4	561.36	1.376	11.71
0	-3.4	561.39	1.377	11.62
-0.2	-3.4	562.21	1.377	12.01
-0.4	-3.4	561.59	1.377	11.50
-0.6	-3.4	561.34	1.378	11.15
-0.8	-3.4	562.00	1.378	10.92
-1	-3.4	561.37	1.379	10.53
