Blue Ridge Optics, November 2025				
Serial 002: LiF on 3-inch Silicon Wafer. With visibly hazy areas				
Used RC2XF Small Spot Ellipsometer with focused beam				
LiF Film Thickness in nm vs. Position				
X (cm)	Y (cm)	LiF Thickness, nm	LiF n@632.8 nm	Roughness, nm
-1.2	-1	560.25	1.378	12.49
-1.4	-1	559.39	1.378	11.07
-1.6	-1	559.46	1.378	11.24
-1.8	-1	559.31	1.378	11.94
-2	-1	559.09	1.379	10.46
-2.2	-1	559.04	1.381	12.82
-2.4	-1	558.77	1.379	10.14
-2.6	-1	558.65	1.379	10.20
-2.8	-1	558.48	1.379	10.08
-3	-1	557.53	1.380	9.94
-3.2	-1	556.96	1.380	9.34
-3.4	-1	556.19	1.381	9.30
-3.2	-1.2	556.90	1.380	10.04
-3	-1.2	557.08	1.380	10.08
-2.8	-1.2	557.99	1.379	10.06
-2.6	-1.2	558.37	1.379	10.01
-2.4	-1.2	558.70	1.379	10.40
-2.2	-1.2	558.57	1.378	10.72
-2	-1.2	559.56	1.379	11.10
-1.8	-1.2	559.64	1.378	11.43
-1.6	-1.2	559.67	1.377	11.58
-1.4	-1.2	559.68	1.378	11.89
-1.2	-1.2	560.13	1.377	11.68
-1	-1.2	560.54	1.377	11.57
-0.8	-1.2	561.36	1.376	12.02
-0.6	-1.2	561.17	1.377	12.92
-0.4	-1.2	561.04	1.377	12.02
-0.2	-1.2	561.52	1.377	12.24
0	-1.2	561.20	1.377	13.01
0.2	-1.2	560.76	1.378	12.46
0.4	-1.2	560.56	1.378	12.54
0.6	-1.2	560.44	1.378	12.55
0.8	-1.2	560.86	1.378	12.44
1	-1.2	560.91	1.378	12.47
1.2	-1.2	560.51	1.378	12.58
1.4	-1.2	560.97	1.377	12.79
1.6	-1.2	561.10	1.378	12.85
1.8	-1.2	561.95	1.377	12.93
2	-1.2	562.21	1.377	15.10
2.2	-1.2	561.92	1.377	12.71
2.4	-1.2	562.07	1.378	12.99
2.6	-1.2	562.12	1.377	12.74
2.8	-1.2	562.42	1.378	12.70
3	-1.2	562.50	1.378	12.65
3.2	-1.2	562.82	1.378	13.67
3.2	-1.4	561.95	1.379	12.68
3	-1.4	563.24	1.377	13.70
2.8	-1.4	562.09	1.378	12.79
2.6	-1.4	561.90	1.378	13.20
2.4	-1.4	562.02	1.378	12.72
2.2	-1.4	561.97	1.377	13.12
2	-1.4	561.65	1.377	12.82
1.8	-1.4	561.33	1.378	12.74
1.6	-1.4	561.17	1.378	12.52
1.4	-1.4	561.20	1.378	12.68
1.2	-1.4	560.65	1.378	12.45
1	-1.4	561.12	1.378	12.37
0.8	-1.4	560.56	1.379	12.45
0.6	-1.4	560.66	1.378	12.20
0.4	-1.4	561.05	1.378	12.17
0.2	-1.4	560.88	1.378	12.19
0	-1.4	560.72	1.378	12.13
-0.2	-1.4	561.15	1.378	12.37
-0.4	-1.4	560.73	1.378	12.80
-0.6	-1.4	561.28	1.377	11.84
-0.8	-1.4	560.18	1.378	12.07
-1	-1.4	560.69	1.377	11.48
-1.2	-1.4	560.22	1.377	11.74
-1.4	-1.4	559.64	1.378	11.56
-1.6	-1.4	559.65	1.378	10.98
-1.8	-1.4	559.55	1.379	10.73
-2	-1.4	559.16	1.379	10.54
-2.2	-1.4	559.08	1.379	10.51
-2.4	-1.4	558.64	1.379	10.16
-2.6	-1.4	558.32	1.379	10.22
-2.8	-1.4	557.58	1.379	9.98
-3	-1.4	557.06	1.380	9.85
-3.2	-1.4	556.50	1.381	9.78
-3	-1.6	557.18	1.380	9.78
-2.8	-1.6	557.65	1.380	9.86
-2.6	-1.6	557.92	1.379	10.37
-2.4	-1.6	558.40	1.379	10.73
-2.2	-1.6	558.22	1.379	10.74
-2	-1.6	558.52	1.379	10.67
-1.8	-1.6	558.87	1.379	10.98
-1.6	-1.6	559.07	1.379	11.21
-1.4	-1.6	559.36	1.379	11.36
-1.2	-1.6	559.25	1.378	11.94
-1	-1.6	559.93	1.378	11.90
-0.8	-1.6	560.13	1.378	12.06
-0.6	-1.6	560.90	1.377	11.62
-0.4	-1.6	560.99	1.377	12.52
-0.2	-1.6	560.63	1.378	11.95
0	-1.6	560.84	1.379	11.85
0.2	-1.6	561.64	1.379	11.96
0.4	-1.6	561.17	1.378	13.49
0.6	-1.6	560.41	1.378	12.32
0.8	-1.6	560.60	1.378	12.42
1	-1.6	560.73	1.378	12.43
1.2	-1.6	560.86	1.378	12.41
1.4	-1.6	560.66	1.378	12.63
1.6	-1.6	560.97	1.378	13.13
1.8	-1.6	561.33	1.378	12.76
2	-1.6	561.72	1.377	12.52
2.2	-1.6	562.18	1.377	12.89
2.4	-1.6	562.12	1.378	13.16
2.6	-1.6	562.04	1.378	12.86
2.8	-1.6	561.98	1.378	12.89
3	-1.6	562.15	1.378	12.46
3	-1.8	562.15	1.377	12.64
2.8	-1.8	562.09	1.378	12.66
2.6	-1.8	562.21	1.378	12.85
2.4	-1.8	561.62	1.378	12.63
2.2	-1.8	561.28	1.378	12.92
2	-1.8	561.18	1.377	12.64
1.8	-1.8	561.15	1.378	12.49
1.6	-1.8	560.64	1.379	12.75
1.4	-1.8	560.95	1.378	12.29
1.2	-1.8	560.31	1.379	12.88
1	-1.8	560.49	1.378	12.29
0.8	-1.8	560.81	1.378	12.44
0.6	-1.8	560.65	1.378	12.25
0.4	-1.8	560.80	1.378	12.05
0.2	-1.8	560.67	1.378	12.11
0	-1.8	560.70	1.378	11.91
-0.2	-1.8	560.34	1.379	12.27
-0.4	-1.8	560.43	1.378	11.83
-0.6	-1.8	560.06	1.378	11.99
-0.8	-1.8	559.48	1.378	12.09
-1	-1.8	559.48	1.378	11.77
-1.2	-1.8	559.68	1.378	11.40
-1.4	-1.8	559.93	1.378	11.11
-1.6	-1.8	558.92	1.379	11.15
-1.8	-1.8	558.91	1.380	10.39
-2	-1.8	558.55	1.381	10.81
-2.2	-1.8	558.40	1.379	10.17
-2.4	-1.8	558.04	1.380	10.54
-2.6	-1.8	557.51	1.380	10.05
-2.8	-1.8	557.67	1.379	10.30
-3	-1.8	556.50	1.381	9.52
-2.8	-2	557.57	1.379	11.04
-2.6	-2	556.51	1.381	9.99
-2.4	-2	556.98	1.380	10.14
-2.2	-2	557.33	1.380	10.52
-2	-2	558.05	1.379	10.97
-1.8	-2	558.37	1.379	11.23
-1.6	-2	559.16	1.379	10.88
-1.4	-2	558.92	1.379	11.39
-1.2	-2	559.36	1.379	11.24
-1	-2	559.32	1.379	11.82
-0.8	-2	559.74	1.378	11.77
-0.6	-2	559.91	1.378	12.26
-0.4	-2	560.20	1.378	11.82
-0.2	-2	560.11	1.379	12.26
0	-2	560.23	1.378	11.97
0.2	-2	560.17	1.379	11.99
0.4	-2	560.20	1.378	12.23
0.6	-2	560.47	1.379	12.10
0.8	-2	560.82	1.378	12.16
1	-2	560.91	1.378	12.64
1.2	-2	560.37	1.379	12.38
1.4	-2	560.55	1.378	12.64
1.6	-2	560.66	1.379	12.67
1.8	-2	561.72	1.378	13.68
2	-2	560.48	1.378	12.80
2.2	-2	561.79	1.378	12.57
2.4	-2	561.38	1.379	12.55
2.6	-2	561.63	1.378	12.08
2.8	-2	561.52	1.378	12.02
2.6	-2.2	561.24	1.379	12.26
2.4	-2.2	561.45	1.378	12.15
2.2	-2.2	561.18	1.378	12.69
2	-2.2	560.59	1.378	12.47
1.8	-2.2	560.70	1.378	12.09
1.6	-2.2	560.86	1.378	12.15
1.4	-2.2	563.48	1.378	15.41
1.2	-2.2	560.06	1.379	12.56
1	-2.2	559.95	1.379	12.67
0.8	-2.2	560.47	1.378	12.13
0.6	-2.2	560.30	1.379	12.20
0.4	-2.2	560.31	1.378	12.19
0.2	-2.2	559.94	1.379	12.62
0	-2.2	559.75	1.379	12.09
-0.2	-2.2	560.09	1.379	12.07
-0.4	-2.2	559.81	1.379	11.79
-0.6	-2.2	559.73	1.379	12.10
-0.8	-2.2	559.47	1.379	11.62
-1	-2.2	559.65	1.379	11.89
-1.2	-2.2	559.37	1.380	10.83
-1.4	-2.2	559.28	1.380	10.32
-1.6	-2.2	558.75	1.380	10.63
-1.8	-2.2	557.99	1.380	10.86
-2	-2.2	558.04	1.380	10.64
-2.2	-2.2	557.73	1.380	10.23
-2.4	-2.2	557.53	1.380	10.37
-2.6	-2.2	556.74	1.381	10.22
-2.6	-2.4	556.14	1.381	9.98
-2.4	-2.4	556.97	1.380	9.96
-2.2	-2.4	557.83	1.379	10.22
-2	-2.4	557.76	1.380	10.33
-1.8	-2.4	558.36	1.380	10.38
-1.6	-2.4	558.60	1.379	10.66
-1.4	-2.4	558.90	1.379	10.81
-1.2	-2.4	558.83	1.381	11.44
-1	-2.4	559.54	1.380	11.66
-0.8	-2.4	560.01	1.380	11.05
-0.6	-2.4	559.70	1.379	11.24
-0.4	-2.4	558.77	1.383	14.47
-0.2	-2.4	560.02	1.379	11.98
0	-2.4	559.72	1.379	11.84
0.2	-2.4	560.09	1.379	11.82
0.4	-2.4	560.19	1.379	11.86
0.6	-2.4	560.22	1.379	12.20
0.8	-2.4	560.44	1.379	11.96
1	-2.4	560.47	1.379	12.05
1.2	-2.4	560.61	1.379	12.30
1.4	-2.4	560.69	1.378	12.28
1.6	-2.4	560.87	1.378	12.41
1.8	-2.4	562.78	1.381	13.85
2	-2.4	560.78	1.378	12.33
2.2	-2.4	561.43	1.378	12.08
2.4	-2.4	561.37	1.379	13.56
2.6	-2.4	560.94	1.379	12.34
2.4	-2.6	560.18	1.379	12.19
2.2	-2.6	561.94	1.378	13.72
2	-2.6	561.73	1.377	13.16
1.8	-2.6	561.08	1.378	12.30
1.6	-2.6	561.69	1.378	13.35
1.4	-2.6	560.82	1.378	12.50
1.2	-2.6	560.60	1.379	12.45
1	-2.6	560.86	1.378	12.23
0.8	-2.6	560.45	1.378	12.31
0.6	-2.6	560.55	1.379	12.35
0.4	-2.6	560.39	1.379	12.24
0.2	-2.6	560.44	1.379	11.59
0	-2.6	560.32	1.378	11.98
-0.2	-2.6	560.04	1.379	11.99
-0.4	-2.6	559.98	1.379	11.75
-0.6	-2.6	560.31	1.380	11.92
-0.8	-2.6	560.40	1.378	11.50
-1	-2.6	558.92	1.379	11.64
-1.2	-2.6	558.74	1.380	11.12
-1.4	-2.6	558.24	1.380	10.87
-1.6	-2.6	558.20	1.380	10.77
-1.8	-2.6	558.43	1.380	10.83
-2	-2.6	557.56	1.380	10.34
-2.2	-2.6	557.38	1.380	10.34
-2.4	-2.6	555.35	1.382	9.89
-2	-2.8	557.95	1.380	10.40
-1.8	-2.8	558.32	1.380	10.73
-1.6	-2.8	558.29	1.380	10.84
-1.4	-2.8	559.27	1.380	11.89
-1.2	-2.8	559.17	1.380	11.57
-1	-2.8	559.59	1.379	11.55
-0.8	-2.8	559.33	1.379	11.72
-0.6	-2.8	560.14	1.379	11.59
-0.4	-2.8	560.30	1.380	12.12
-0.2	-2.8	560.50	1.380	12.23
0	-2.8	560.72	1.379	12.02
0.2	-2.8	561.12	1.378	12.06
0.4	-2.8	560.70	1.378	12.21
0.6	-2.8	560.62	1.379	12.87
0.8	-2.8	561.26	1.378	12.35
1	-2.8	560.69	1.378	12.52
1.2	-2.8	560.96	1.378	12.49
1.4	-2.8	561.10	1.378	12.60
1.6	-2.8	561.73	1.377	12.60
1.8	-2.8	561.89	1.377	12.76
2	-2.8	561.64	1.378	12.59
1.8	-3	560.85	1.379	12.06
1.6	-3	561.26	1.378	12.26
1.4	-3	561.20	1.379	12.26
1.2	-3	560.79	1.379	12.57
1	-3	561.90	1.378	12.76
0.8	-3	560.40	1.379	12.78
0.6	-3	560.72	1.379	12.55
0.4	-3	561.10	1.379	12.50
0.2	-3	560.82	1.379	12.24
0	-3	560.81	1.379	12.07
-0.2	-3	560.16	1.380	12.26
-0.4	-3	560.09	1.380	12.14
-0.6	-3	560.11	1.379	11.95
-0.8	-3	559.77	1.379	11.58
-1	-3	559.34	1.379	11.39
-1.2	-3	558.82	1.380	11.12
-1.4	-3	558.43	1.380	10.64
-1.6	-3	558.23	1.381	11.25
-1.8	-3	558.35	1.381	11.96
-1.4	-3.2	558.84	1.380	11.98
-1.2	-3.2	558.50	1.380	10.60
-1	-3.2	558.87	1.379	11.37
-0.8	-3.2	559.20	1.380	11.51
-0.6	-3.2	560.02	1.379	11.60
-0.4	-3.2	560.24	1.379	11.66
-0.2	-3.2	559.84	1.380	11.95
0	-3.2	560.21	1.380	12.06
0.2	-3.2	560.56	1.380	11.78
0.4	-3.2	559.66	1.381	12.25
0.6	-3.2	559.52	1.381	11.69
0.8	-3.2	560.10	1.381	12.01
1	-3.2	559.97	1.380	11.55
1.2	-3.2	560.27	1.381	12.66
1.4	-3.2	559.70	1.381	11.78
1	-3.4	558.59	1.382	11.42
0.8	-3.4	559.51	1.382	11.99
0.6	-3.4	560.25	1.381	12.15
0.4	-3.4	560.09	1.382	12.71
0.2	-3.4	561.21	1.380	13.29
0	-3.4	559.31	1.381	11.51
-0.2	-3.4	559.35	1.381	11.34
-0.4	-3.4	558.88	1.381	11.16
-0.6	-3.4	558.81	1.382	13.03
-0.8	-3.4	559.85	1.379	12.25
-1	-3.4	558.08	1.380	10.90
