Blue Ridge Optics, November 2025				
Serial 002: LiF on 3-inch Silicon Wafer. With visibly hazy areas				
Used RC2XF Small Spot Ellipsometer with focused beam				
LiF Film Thickness in nm vs. Position				
X (cm)	Y (cm)	LiF Thickness, nm	LiF n@632.8 nm	Roughness, nm
-0.8	2	559.99	1.379	11.32
-0.6	2	560.66	1.378	10.98
-0.4	2	560.79	1.378	11.45
-0.2	2	560.76	1.378	11.33
0	2	560.92	1.379	11.39
0.2	2	561.30	1.378	11.43
0.4	2	561.66	1.378	11.59
0.6	2	561.53	1.377	11.72
0.8	2	560.62	1.379	11.85
1	2	561.11	1.378	11.74
1.2	2	561.43	1.378	11.81
1.4	2	560.77	1.379	12.01
1.6	2	561.42	1.379	12.15
1.8	2	562.00	1.377	11.90
2	2	562.03	1.378	12.04
2.2	2	561.93	1.378	12.04
2.4	2	561.60	1.377	12.25
2.6	2	562.05	1.377	12.28
2.8	2	561.78	1.377	12.10
3	1.8	562.58	1.377	12.25
2.8	1.8	561.85	1.378	12.85
2.6	1.8	561.99	1.377	12.43
2.4	1.8	564.90	1.377	14.17
2.2	1.8	562.10	1.377	12.13
2	1.8	561.51	1.378	12.24
1.8	1.8	561.50	1.378	11.75
1.6	1.8	561.32	1.378	11.75
1.4	1.8	561.48	1.378	11.74
1.2	1.8	561.26	1.378	11.58
1	1.8	561.34	1.378	11.90
0.8	1.8	560.98	1.379	11.77
0.6	1.8	561.22	1.378	11.51
0.4	1.8	561.31	1.378	11.77
0.2	1.8	561.30	1.378	11.46
0	1.8	560.67	1.379	11.54
-0.2	1.8	559.94	1.379	11.66
-0.4	1.8	559.99	1.379	11.66
-0.6	1.8	560.63	1.378	11.16
-0.8	1.8	561.61	1.378	12.29
-1	1.8	560.11	1.378	10.98
-1.2	1.8	559.83	1.378	10.49
-1.4	1.8	559.84	1.379	10.59
-1.6	1.8	559.60	1.379	10.44
-1.8	1.8	559.83	1.379	10.24
-2	1.8	559.41	1.379	9.84
-2.2	1.8	559.54	1.379	9.48
-2.4	1.8	558.73	1.380	9.51
-2.6	1.8	558.89	1.379	9.05
-2.8	1.8	559.00	1.379	8.17
-3	1.8	558.14	1.381	8.41
-3	1.6	557.73	1.382	8.65
-2.8	1.6	559.71	1.379	9.32
-2.6	1.6	559.34	1.380	9.14
-2.4	1.6	559.14	1.379	9.37
-2.2	1.6	559.52	1.379	9.52
-2	1.6	559.41	1.379	9.87
-1.8	1.6	559.86	1.379	10.16
-1.6	1.6	559.30	1.380	10.36
-1.4	1.6	559.65	1.379	10.58
-1.2	1.6	559.57	1.379	10.85
-1	1.6	559.90	1.378	10.93
-0.8	1.6	560.40	1.379	11.03
-0.6	1.6	560.26	1.379	11.57
-0.4	1.6	560.63	1.379	11.33
-0.2	1.6	560.44	1.379	11.51
0	1.6	560.88	1.378	11.49
0.2	1.6	560.72	1.378	11.52
0.4	1.6	561.25	1.378	11.47
0.6	1.6	561.69	1.377	11.61
0.8	1.6	561.20	1.379	11.81
1	1.6	561.05	1.378	11.31
1.2	1.6	561.40	1.378	11.69
1.4	1.6	561.09	1.379	11.77
1.6	1.6	561.57	1.378	11.64
1.8	1.6	561.22	1.378	11.93
2	1.6	561.77	1.377	12.12
