Blue Ridge Optics, November 2025				
Serial 003: LiF on 3-inch Silicon Wafer. With visibly hazy areas				
Used RC2XF Small Spot Ellipsometer with focused beam				
LiF Film Thickness in nm vs. Position				
X (cm)	Y (cm)	LiF Thickness, nm	LiF n@632.8 nm	Roughness, nm
-1	2.8	558.37	1.384	11.47
-0.8	2.8	560.93	1.381	11.35
-0.6	2.8	559.98	1.382	12.32
-0.4	2.8	560.93	1.380	12.75
-0.2	2.8	561.03	1.380	12.86
0	2.8	561.00	1.380	12.70
0.2	2.8	560.28	1.380	12.69
0.4	2.8	558.70	1.380	13.64
0.6	2.8	560.37	1.381	13.33
0.8	2.8	560.72	1.381	13.53
1	2.8	561.33	1.381	14.02
1.2	2.8	560.77	1.381	13.38
1.4	2.8	561.05	1.380	13.46
1.6	2.8	561.58	1.379	13.29
1.8	2.8	561.92	1.380	13.49
2	2.8	562.24	1.379	12.92
2.4	2.6	562.58	1.378	14.25
2.2	2.6	561.42	1.380	12.99
2	2.6	561.72	1.380	13.27
1.8	2.6	561.86	1.379	13.46
1.6	2.6	561.54	1.379	13.23
1.4	2.6	561.97	1.379	13.29
1.2	2.6	561.99	1.380	13.42
1	2.6	561.65	1.380	13.43
0.8	2.6	561.43	1.381	13.52
0.6	2.6	561.34	1.380	13.14
0.4	2.6	561.71	1.380	11.28
0.2	2.6	561.10	1.381	12.78
0	2.6	561.29	1.380	12.88
-0.2	2.6	561.30	1.380	12.65
-0.4	2.6	560.75	1.381	12.34
-0.6	2.6	559.65	1.382	12.13
-0.8	2.6	559.87	1.382	11.94
-1	2.6	560.74	1.381	12.04
-1.2	2.6	559.83	1.381	12.01
-1.4	2.6	557.45	1.385	10.79
-1.6	2.6	557.56	1.385	10.82
-1.8	2.6	558.47	1.383	11.36
-2	2.6	558.83	1.383	11.56
-2.2	2.6	557.66	1.384	10.87
-2.4	2.6	555.67	1.387	9.84
-2.6	2.4	555.32	1.387	10.13
-2.4	2.4	555.38	1.387	10.22
-2.2	2.4	557.81	1.384	11.12
-2	2.4	559.33	1.383	11.77
-1.8	2.4	559.32	1.382	11.73
-1.6	2.4	559.83	1.383	10.90
-1.4	2.4	558.28	1.384	11.20
-1.2	2.4	557.64	1.385	11.11
-1	2.4	560.17	1.382	11.69
-0.8	2.4	561.13	1.380	12.67
-0.6	2.4	560.77	1.381	12.37
-0.4	2.4	560.88	1.381	12.49
-0.2	2.4	561.39	1.380	12.60
0	2.4	560.90	1.381	12.56
0.2	2.4	561.29	1.380	13.16
0.4	2.4	561.00	1.381	13.05
0.6	2.4	561.76	1.381	12.63
0.8	2.4	561.82	1.380	13.43
1	2.4	562.32	1.380	13.35
1.2	2.4	561.88	1.379	13.47
1.4	2.4	562.15	1.379	13.73
1.6	2.4	562.15	1.379	13.75
1.8	2.4	561.92	1.379	13.49
2	2.4	561.72	1.379	13.62
2.2	2.4	560.68	1.381	12.82
2.4	2.4	561.95	1.379	13.20
2.6	2.4	562.53	1.379	13.67
2.6	2.2	562.46	1.379	13.33
2.4	2.2	561.63	1.381	12.16
2.2	2.2	561.95	1.379	13.26
2	2.2	562.46	1.378	13.64
1.8	2.2	562.40	1.379	13.65
1.6	2.2	561.91	1.379	13.84
1.4	2.2	562.55	1.378	13.65
1.2	2.2	561.96	1.379	13.60
1	2.2	562.18	1.379	13.52
0.8	2.2	562.26	1.380	13.26
0.6	2.2	562.59	1.380	12.32
0.4	2.2	562.03	1.379	13.40
0.2	2.2	561.31	1.380	13.06
0	2.2	561.10	1.381	12.70
-0.2	2.2	562.29	1.380	12.01
-0.4	2.2	561.14	1.380	12.77
-0.6	2.2	561.44	1.380	12.45
-0.8	2.2	560.40	1.381	12.05
-1	2.2	559.61	1.382	12.20
-1.2	2.2	559.46	1.382	11.97
-1.4	2.2	559.54	1.382	11.60
-1.6	2.2	560.06	1.381	12.13
-1.8	2.2	559.94	1.381	11.98
-2	2.2	559.34	1.382	11.37
-2.2	2.2	558.77	1.383	10.95
-2.4	2.2	557.57	1.385	10.42
-2.6	2.2	558.27	1.384	11.15
-2.8	2	558.39	1.383	10.79
-2.6	2	559.47	1.382	11.40
-2.4	2	559.03	1.382	11.10
-2.2	2	560.41	1.382	10.16
-2	2	559.62	1.382	11.16
-1.8	2	559.88	1.381	11.96
-1.6	2	560.79	1.380	11.84
-1.4	2	560.55	1.381	11.97
-1.2	2	560.98	1.381	12.35
-1	2	560.65	1.382	11.31
-0.8	2	559.42	1.382	11.72
-0.6	2	560.59	1.381	12.26
-0.4	2	561.19	1.381	12.48
-0.2	2	561.63	1.380	13.28
0	2	561.63	1.380	12.31
0.2	2	561.49	1.380	12.92
0.4	2	561.87	1.380	13.12
0.6	2	562.32	1.380	13.27
0.8	2	561.89	1.380	13.44
1	2	562.36	1.379	13.06
1.2	2	562.59	1.378	13.37
1.4	2	562.65	1.378	13.65
1.6	2	562.53	1.378	13.75
1.8	2	562.60	1.378	13.12
2	2	562.62	1.379	13.34
2.2	2	563.04	1.378	13.27
2.4	2	562.24	1.379	13.19
2.6	2	562.40	1.381	10.79
2.8	2	561.87	1.380	13.74
3	1.8	561.03	1.380	13.33
2.8	1.8	562.28	1.379	14.38
2.6	1.8	562.51	1.379	14.18
2.4	1.8	563.65	1.378	12.26
2.2	1.8	562.53	1.379	14.05
2	1.8	562.86	1.378	13.90
1.8	1.8	562.64	1.378	13.81
1.6	1.8	562.38	1.378	13.59
1.4	1.8	562.84	1.379	12.30
1.2	1.8	562.68	1.379	13.43
1	1.8	563.00	1.379	12.45
0.8	1.8	562.67	1.379	13.15
0.6	1.8	562.36	1.379	13.06
0.4	1.8	561.76	1.380	12.90
0.2	1.8	561.93	1.380	13.02
0	1.8	561.56	1.380	13.04
-0.2	1.8	561.19	1.380	12.60
-0.4	1.8	560.74	1.381	12.19
-0.6	1.8	560.61	1.381	11.80
-0.8	1.8	560.67	1.381	12.30
-1	1.8	560.65	1.381	12.25
-1.2	1.8	561.47	1.380	12.16
-1.4	1.8	560.70	1.381	12.14
-1.6	1.8	560.69	1.380	11.75
-1.8	1.8	560.64	1.381	11.78
-2	1.8	560.33	1.381	11.49
-2.2	1.8	560.41	1.381	11.69
-2.4	1.8	559.90	1.381	11.68
-2.6	1.8	558.21	1.384	9.51
-2.8	1.8	554.99	1.388	9.88
-3	1.8	556.63	1.385	10.01
-3	1.6	555.22	1.387	9.45
-2.8	1.6	555.13	1.388	9.41
-2.6	1.6	556.67	1.385	10.28
-2.4	1.6	559.59	1.382	11.24
-2.2	1.6	560.54	1.380	11.75
-2	1.6	560.86	1.380	12.06
-1.8	1.6	560.85	1.381	12.38
-1.6	1.6	561.33	1.380	11.89
-1.4	1.6	560.62	1.381	12.06
-1.2	1.6	561.24	1.380	12.45
-1	1.6	561.25	1.380	12.63
-0.8	1.6	561.50	1.380	12.48
-0.6	1.6	560.94	1.381	12.65
-0.4	1.6	560.99	1.381	12.25
-0.2	1.6	560.56	1.381	12.32
0	1.6	561.70	1.380	12.71
0.2	1.6	562.31	1.379	13.02
0.4	1.6	562.71	1.378	13.35
0.6	1.6	562.28	1.379	13.26
0.8	1.6	562.44	1.379	13.23
1	1.6	562.79	1.379	13.32
1.2	1.6	562.61	1.379	12.99
1.4	1.6	562.46	1.379	13.66
1.6	1.6	562.12	1.379	13.57
1.8	1.6	563.48	1.378	14.01
2	1.6	564.22	1.378	13.72
2.2	1.6	563.69	1.378	13.47
2.4	1.6	563.40	1.378	14.34
2.6	1.6	562.77	1.378	14.51
2.8	1.6	562.25	1.379	14.13
3	1.6	561.69	1.380	13.00
3.2	1.4	561.56	1.380	13.48
3	1.4	562.41	1.380	14.51
2.8	1.4	563.08	1.378	14.66
2.6	1.4	562.97	1.378	14.34
2.4	1.4	562.92	1.378	14.02
2.2	1.4	563.01	1.378	13.74
2	1.4	562.76	1.378	13.60
1.8	1.4	562.82	1.379	13.02
1.6	1.4	562.48	1.378	13.43
1.4	1.4	562.26	1.379	13.47
1.2	1.4	562.87	1.378	13.35
1	1.4	562.70	1.379	13.45
0.8	1.4	563.07	1.378	13.47
0.6	1.4	562.85	1.379	12.63
0.4	1.4	562.40	1.379	12.88
0.2	1.4	562.11	1.379	12.51
0	1.4	561.71	1.380	12.35
-0.2	1.4	561.43	1.380	12.74
-0.4	1.4	561.68	1.380	12.65
-0.6	1.4	561.86	1.380	12.19
-0.8	1.4	561.22	1.382	11.86
-1	1.4	561.63	1.379	12.28
-1.2	1.4	561.96	1.380	10.94
-1.4	1.4	561.15	1.380	12.04
-1.6	1.4	561.33	1.380	12.21
-1.8	1.4	561.53	1.379	11.44
-2	1.4	561.33	1.380	11.66
-2.2	1.4	560.34	1.381	11.17
-2.4	1.4	558.18	1.383	10.77
-2.6	1.4	556.77	1.385	10.02
-2.8	1.4	555.94	1.386	9.62
-3	1.4	558.29	1.383	10.23
-3.2	1.4	560.13	1.380	11.32
-3.2	1.2	559.94	1.381	11.41
-3	1.2	559.96	1.382	11.27
-2.8	1.2	557.53	1.384	10.13
-2.6	1.2	558.65	1.384	9.80
-2.4	1.2	558.70	1.382	10.73
-2.2	1.2	559.11	1.382	11.34
-2	1.2	560.03	1.381	11.17
-1.8	1.2	560.65	1.380	11.85
-1.6	1.2	561.53	1.379	12.44
-1.4	1.2	561.14	1.380	12.30
-1.2	1.2	561.08	1.380	12.60
-1	1.2	561.52	1.380	12.47
-0.8	1.2	561.67	1.379	12.89
-0.6	1.2	561.71	1.379	12.71
-0.4	1.2	561.87	1.379	12.99
-0.2	1.2	561.94	1.379	12.77
0	1.2	561.89	1.379	12.98
0.2	1.2	561.94	1.379	12.91
0.4	1.2	562.29	1.379	12.76
0.6	1.2	562.40	1.379	12.96
0.8	1.2	562.58	1.378	13.17
1	1.2	562.84	1.378	13.38
1.2	1.2	562.67	1.378	13.53
1.4	1.2	562.58	1.378	13.58
1.6	1.2	562.42	1.378	13.58
1.8	1.2	562.84	1.378	13.44
2	1.2	564.22	1.378	13.96
2.2	1.2	563.52	1.378	13.85
2.4	1.2	563.19	1.378	13.92
2.6	1.2	563.17	1.378	14.02
2.8	1.2	561.16	1.384	16.71
3	1.2	562.32	1.379	14.46
3.2	1.2	561.96	1.379	13.89
3.4	1	561.76	1.381	12.00
3.2	1	562.48	1.379	13.71
3	1	562.54	1.378	14.13
2.8	1	562.77	1.378	13.98
2.6	1	562.80	1.378	13.62
2.4	1	562.64	1.378	13.88
2.2	1	562.91	1.378	13.59
2	1	562.81	1.379	13.35
1.8	1	563.13	1.378	13.32
1.6	1	562.73	1.378	13.57
1.4	1	562.96	1.378	13.47
1.2	1	562.68	1.379	12.46
1	1	562.33	1.379	12.91
0.8	1	562.63	1.379	12.90
0.6	1	562.26	1.379	12.91
0.4	1	562.32	1.379	12.86
0.2	1	562.44	1.379	12.66
0	1	562.09	1.379	12.75
-0.2	1	562.74	1.379	12.73
-0.4	1	562.05	1.379	12.74
-0.6	1	562.15	1.379	12.66
-0.8	1	561.78	1.379	12.73
-1	1	561.61	1.380	12.29
-1.2	1	561.38	1.379	12.44
-1.4	1	561.25	1.379	12.09
-1.6	1	561.52	1.380	12.14
-1.8	1	560.33	1.381	11.74
-2	1	560.24	1.381	11.15
-2.2	1	560.05	1.381	11.02
-2.4	1	559.06	1.382	10.60
-2.6	1	559.34	1.381	10.88
-2.8	1	559.87	1.381	10.74
-3	1	560.73	1.381	9.42
-3.2	1	559.97	1.381	10.80
-3.4	1	559.21	1.381	10.76
-3.4	0.8	559.86	1.381	10.90
-3.2	0.8	560.10	1.381	11.13
-3	0.8	559.65	1.381	10.21
-2.8	0.8	559.73	1.381	10.75
-2.6	0.8	559.85	1.381	11.06
-2.4	0.8	560.19	1.381	11.03
-2.2	0.8	560.31	1.381	10.99
-2	0.8	560.26	1.381	11.33
-1.8	0.8	560.14	1.381	11.28
-1.6	0.8	560.93	1.380	11.59
-1.4	0.8	561.64	1.379	12.12
-1.2	0.8	561.70	1.379	12.44
-1	0.8	561.87	1.379	12.52
-0.8	0.8	561.85	1.379	12.37
-0.6	0.8	562.55	1.378	12.71
-0.4	0.8	562.23	1.379	12.60
-0.2	0.8	562.14	1.379	12.86
0	0.8	562.13	1.379	12.76
0.2	0.8	562.21	1.379	12.84
0.4	0.8	562.39	1.379	12.94
0.6	0.8	562.45	1.379	12.90
0.8	0.8	562.90	1.378	12.80
1	0.8	562.27	1.379	13.22
1.2	0.8	562.62	1.378	13.04
1.4	0.8	562.54	1.379	13.21
1.6	0.8	562.74	1.378	13.34
1.8	0.8	563.00	1.378	13.63
2	0.8	562.89	1.378	13.62
2.2	0.8	562.91	1.378	13.50
2.4	0.8	562.77	1.378	13.75
2.6	0.8	562.88	1.378	13.72
2.8	0.8	563.09	1.378	13.58
3	0.8	562.94	1.378	13.61
3.2	0.8	562.51	1.379	13.59
3.4	0.8	562.40	1.380	12.48
3.4	0.6	562.52	1.379	13.55
3.2	0.6	563.15	1.379	13.24
3	0.6	563.27	1.378	13.47
2.8	0.6	563.17	1.378	13.67
2.6	0.6	562.98	1.378	13.64
2.4	0.6	563.27	1.378	13.27
2.2	0.6	563.18	1.377	13.50
2	0.6	563.34	1.377	13.45
1.8	0.6	562.50	1.379	13.53
1.6	0.6	562.42	1.379	13.35
1.4	0.6	562.73	1.378	13.17
1.2	0.6	562.51	1.378	12.93
1	0.6	562.23	1.379	13.25
0.8	0.6	562.42	1.379	13.23
0.6	0.6	562.96	1.378	13.17
0.4	0.6	562.34	1.379	13.17
0.2	0.6	562.27	1.378	13.38
0	0.6	562.26	1.379	12.82
-0.2	0.6	562.32	1.379	12.83
-0.4	0.6	562.38	1.379	12.50
-0.6	0.6	561.97	1.379	12.52
-0.8	0.6	562.18	1.378	12.53
-1	0.6	562.01	1.379	12.43
-1.2	0.6	562.36	1.378	12.39
-1.4	0.6	561.76	1.379	12.01
-1.6	0.6	561.18	1.380	11.82
-1.8	0.6	560.68	1.380	11.65
-2	0.6	560.97	1.380	11.45
-2.2	0.6	560.51	1.380	11.23
-2.4	0.6	560.36	1.381	11.75
-2.6	0.6	560.38	1.380	11.19
-2.8	0.6	560.31	1.380	11.59
-3	0.6	560.54	1.380	11.27
-3.2	0.6	560.71	1.380	11.35
-3.4	0.6	557.92	1.383	9.99
-3.4	0.4	557.35	1.384	9.36
-3.2	0.4	557.82	1.384	10.27
-3	0.4	560.51	1.380	11.00
-2.8	0.4	561.30	1.379	11.75
-2.6	0.4	560.90	1.380	11.85
-2.4	0.4	560.87	1.380	11.33
-2.2	0.4	560.16	1.381	11.13
-2	0.4	560.28	1.381	11.53
-1.8	0.4	561.32	1.380	11.67
-1.6	0.4	561.39	1.380	11.60
-1.4	0.4	561.17	1.380	11.79
-1.2	0.4	561.30	1.380	12.22
-1	0.4	562.31	1.379	12.32
-0.8	0.4	562.24	1.379	12.46
-0.6	0.4	562.66	1.378	12.73
-0.4	0.4	562.35	1.379	12.63
-0.2	0.4	562.13	1.379	12.71
0	0.4	562.16	1.379	12.69
0.2	0.4	562.21	1.379	12.92
0.4	0.4	562.34	1.378	12.89
0.6	0.4	562.62	1.378	12.82
0.8	0.4	562.46	1.379	12.95
1	0.4	562.15	1.379	13.24
1.2	0.4	562.32	1.379	13.12
1.4	0.4	562.28	1.379	13.34
1.6	0.4	562.93	1.379	13.45
1.8	0.4	562.93	1.378	13.24
2	0.4	562.74	1.378	13.56
2.2	0.4	563.69	1.378	12.53
2.4	0.4	563.47	1.378	13.68
2.6	0.4	563.51	1.377	13.36
2.8	0.4	563.18	1.378	13.64
3	0.4	563.35	1.378	13.66
3.2	0.4	563.41	1.378	13.36
3.4	0.4	562.82	1.379	13.34
3.4	0.2	562.71	1.378	13.35
3.2	0.2	562.85	1.378	13.55
3	0.2	562.62	1.379	13.66
2.8	0.2	562.82	1.378	13.59
2.6	0.2	563.78	1.377	13.52
2.4	0.2	563.48	1.377	13.58
2.2	0.2	563.43	1.378	13.36
2	0.2	562.92	1.378	13.37
1.8	0.2	562.89	1.378	13.16
1.6	0.2	563.00	1.378	13.29
1.4	0.2	562.92	1.378	13.22
1.2	0.2	562.59	1.379	13.04
1	0.2	562.35	1.379	13.10
0.8	0.2	562.27	1.379	12.70
0.6	0.2	562.32	1.379	12.84
0.4	0.2	562.47	1.378	12.78
0.2	0.2	562.54	1.379	12.92
0	0.2	562.26	1.379	12.72
-0.2	0.2	562.34	1.379	12.79
-0.4	0.2	562.37	1.379	12.52
-0.6	0.2	563.32	1.378	12.43
-0.8	0.2	562.40	1.378	12.28
-1	0.2	562.03	1.379	11.93
-1.2	0.2	561.79	1.379	12.12
-1.4	0.2	562.05	1.379	12.02
-1.6	0.2	561.76	1.379	11.48
-1.8	0.2	561.76	1.380	11.47
-2	0.2	561.44	1.380	11.37
-2.2	0.2	561.00	1.380	11.36
-2.4	0.2	561.24	1.380	11.72
-2.6	0.2	561.85	1.380	11.75
-2.8	0.2	560.86	1.381	11.02
-3	0.2	558.91	1.383	10.45
-3.2	0.2	559.85	1.382	11.00
-3.4	0.2	561.71	1.381	11.56
-3.4	0	559.67	1.382	10.46
-3.2	0	561.47	1.380	11.27
-3	0	560.94	1.381	11.12
-2.8	0	559.86	1.382	10.85
-2.6	0	560.85	1.381	11.33
-2.4	0	562.29	1.379	11.70
-2.2	0	561.18	1.380	11.69
-2	0	562.03	1.379	11.70
-1.8	0	561.38	1.380	11.82
-1.6	0	561.69	1.380	11.71
-1.4	0	562.05	1.379	11.69
-1.2	0	562.14	1.379	11.71
-1	0	562.56	1.378	12.02
-0.8	0	562.43	1.378	12.17
-0.6	0	563.29	1.378	12.32
-0.4	0	562.55	1.379	12.82
-0.2	0	562.43	1.378	12.60
0	0	562.47	1.378	12.50
0.2	0	562.57	1.378	12.84
0.4	0	562.36	1.378	12.83
0.6	0	562.38	1.378	13.04
0.8	0	564.82	1.377	13.82
1	0	562.67	1.378	13.17
1.2	0	562.87	1.378	13.10
1.4	0	562.92	1.378	13.25
1.6	0	562.95	1.378	13.19
1.8	0	563.20	1.378	13.20
2	0	563.20	1.378	13.34
2.2	0	562.70	1.378	13.56
2.4	0	562.99	1.378	13.47
2.6	0	562.67	1.378	13.30
2.8	0	562.67	1.378	13.81
3	0	562.97	1.378	13.54
3.2	0	562.67	1.378	13.90
3.4	0	562.13	1.379	13.76
3.4	-0.2	562.92	1.378	13.20
3.2	-0.2	562.73	1.378	13.94
3	-0.2	562.36	1.378	14.21
2.8	-0.2	562.60	1.378	13.69
2.6	-0.2	562.67	1.378	13.66
2.4	-0.2	562.90	1.378	13.68
2.2	-0.2	562.86	1.378	13.62
2	-0.2	562.44	1.379	13.24
1.8	-0.2	562.49	1.378	13.50
1.6	-0.2	562.76	1.378	13.18
1.4	-0.2	563.05	1.378	13.04
1.2	-0.2	562.83	1.378	13.25
1	-0.2	562.56	1.378	13.30
0.8	-0.2	562.33	1.379	12.99
0.6	-0.2	562.19	1.379	13.01
0.4	-0.2	562.21	1.379	12.94
0.2	-0.2	562.47	1.379	12.98
0	-0.2	562.26	1.379	12.80
-0.2	-0.2	562.09	1.379	12.77
-0.4	-0.2	562.14	1.379	12.69
-0.6	-0.2	562.46	1.379	12.09
-0.8	-0.2	561.76	1.379	12.06
-1	-0.2	562.29	1.379	12.44
-1.2	-0.2	562.38	1.379	11.98
-1.4	-0.2	561.83	1.380	11.78
-1.6	-0.2	561.80	1.380	12.13
-1.8	-0.2	562.31	1.379	11.97
-2	-0.2	561.95	1.379	11.77
-2.2	-0.2	562.33	1.379	11.79
-2.4	-0.2	561.38	1.380	11.40
-2.6	-0.2	561.02	1.381	11.05
-2.8	-0.2	561.40	1.380	11.52
-3	-0.2	562.21	1.379	11.00
-3.2	-0.2	561.09	1.380	10.82
-3.4	-0.2	559.87	1.382	10.77
-3.4	-0.4	560.07	1.381	10.58
-3.2	-0.4	560.63	1.381	10.94
-3	-0.4	561.07	1.380	11.23
-2.8	-0.4	561.81	1.379	11.59
-2.6	-0.4	561.75	1.380	11.38
-2.4	-0.4	561.38	1.380	10.98
-2.2	-0.4	562.05	1.380	11.62
-2	-0.4	562.53	1.379	11.92
-1.8	-0.4	562.47	1.379	11.86
-1.6	-0.4	562.39	1.379	11.88
-1.4	-0.4	562.22	1.379	11.92
-1.2	-0.4	562.53	1.379	12.23
-1	-0.4	562.56	1.378	12.47
-0.8	-0.4	562.37	1.378	12.72
-0.6	-0.4	561.58	1.379	12.08
-0.4	-0.4	562.24	1.379	12.29
-0.2	-0.4	562.40	1.379	12.30
0	-0.4	562.39	1.378	12.85
0.2	-0.4	562.71	1.378	12.86
0.4	-0.4	563.01	1.379	13.00
0.6	-0.4	562.36	1.379	12.90
0.8	-0.4	562.66	1.378	13.14
1	-0.4	562.60	1.378	13.21
1.2	-0.4	562.96	1.377	13.09
1.4	-0.4	562.99	1.377	13.22
1.6	-0.4	562.74	1.378	13.20
1.8	-0.4	562.66	1.378	13.28
2	-0.4	563.18	1.378	13.37
2.2	-0.4	563.10	1.378	13.46
2.4	-0.4	563.14	1.377	13.44
2.6	-0.4	562.71	1.378	13.57
2.8	-0.4	562.61	1.378	13.53
3	-0.4	563.03	1.378	13.52
3.2	-0.4	562.88	1.378	13.67
3.4	-0.4	563.13	1.379	13.00
3.4	-0.6	562.46	1.378	13.36
3.2	-0.6	562.67	1.378	13.57
3	-0.6	562.88	1.378	13.56
2.8	-0.6	563.03	1.378	13.44
2.6	-0.6	562.79	1.378	13.32
2.4	-0.6	563.14	1.378	13.22
2.2	-0.6	563.52	1.378	13.27
2	-0.6	563.28	1.378	13.33
1.8	-0.6	562.70	1.378	13.31
1.6	-0.6	562.69	1.378	13.28
1.4	-0.6	562.96	1.378	13.38
1.2	-0.6	562.90	1.377	13.35
1	-0.6	562.47	1.378	13.02
0.8	-0.6	562.76	1.378	13.24
0.6	-0.6	562.49	1.378	12.95
0.4	-0.6	562.69	1.379	12.93
0.2	-0.6	562.77	1.379	12.79
0	-0.6	562.40	1.379	12.79
-0.2	-0.6	561.98	1.379	12.42
-0.4	-0.6	562.14	1.379	12.22
-0.6	-0.6	562.33	1.379	12.51
-0.8	-0.6	562.56	1.378	12.24
-1	-0.6	562.39	1.379	12.33
-1.2	-0.6	562.25	1.379	12.17
-1.4	-0.6	562.67	1.379	11.82
-1.6	-0.6	562.18	1.380	12.06
-1.8	-0.6	562.52	1.379	12.17
-2	-0.6	562.07	1.380	11.75
-2.2	-0.6	561.52	1.381	11.47
-2.4	-0.6	562.03	1.379	11.32
-2.6	-0.6	562.67	1.378	11.56
-2.8	-0.6	561.92	1.379	11.22
-3	-0.6	561.25	1.380	11.35
-3.2	-0.6	560.83	1.380	10.87
-3.4	-0.6	559.31	1.382	10.42
-3.4	-0.8	558.24	1.383	10.68
-3.2	-0.8	560.27	1.381	11.45
-3	-0.8	561.67	1.380	11.06
-2.8	-0.8	561.65	1.380	11.21
-2.6	-0.8	562.64	1.379	11.93
-2.4	-0.8	562.66	1.378	11.85
-2.2	-0.8	562.42	1.380	11.70
-2	-0.8	561.78	1.380	11.64
-1.8	-0.8	562.33	1.380	12.28
-1.6	-0.8	562.30	1.379	12.20
-1.4	-0.8	562.62	1.379	12.41
-1.2	-0.8	562.54	1.379	11.97
-1	-0.8	562.50	1.379	12.16
-0.8	-0.8	562.44	1.379	12.27
-0.6	-0.8	562.59	1.378	12.14
-0.4	-0.8	562.20	1.379	12.39
-0.2	-0.8	561.84	1.379	12.33
0	-0.8	562.39	1.379	12.59
0.2	-0.8	562.47	1.379	12.94
0.4	-0.8	562.74	1.378	12.86
0.6	-0.8	562.61	1.378	12.80
0.8	-0.8	562.60	1.378	13.24
1	-0.8	562.64	1.378	13.19
1.2	-0.8	563.04	1.377	13.04
1.4	-0.8	563.81	1.377	13.27
1.6	-0.8	563.11	1.378	13.15
1.8	-0.8	563.33	1.377	13.34
2	-0.8	563.56	1.377	13.30
2.2	-0.8	563.32	1.378	13.50
2.4	-0.8	562.92	1.378	13.33
2.6	-0.8	562.73	1.378	13.34
2.8	-0.8	562.45	1.378	13.74
3	-0.8	562.53	1.378	13.53
3.2	-0.8	562.72	1.378	13.31
3.4	-0.8	562.07	1.378	13.26
3.4	-1	561.13	1.379	13.13
3.2	-1	562.69	1.378	13.17
3	-1	563.07	1.377	13.37
2.8	-1	562.59	1.378	13.50
2.6	-1	562.72	1.377	13.50
2.4	-1	562.55	1.378	13.42
2.2	-1	563.15	1.377	13.28
2	-1	562.88	1.378	13.46
1.8	-1	563.47	1.377	13.26
1.6	-1	563.30	1.377	13.44
1.4	-1	563.39	1.377	13.76
1.2	-1	563.48	1.377	13.31
1	-1	562.71	1.378	12.95
0.8	-1	562.76	1.377	13.11
0.6	-1	562.43	1.378	13.05
0.4	-1	562.72	1.378	12.78
0.2	-1	562.51	1.379	12.86
0	-1	562.52	1.379	12.92
-0.2	-1	562.39	1.379	12.68
-0.4	-1	562.60	1.379	12.46
-0.6	-1	562.77	1.378	12.60
-0.8	-1	562.95	1.378	12.30
-1	-1	563.01	1.378	12.17
-1.2	-1	562.95	1.379	12.08
-1.4	-1	562.86	1.379	12.06
-1.6	-1	562.75	1.378	12.16
-1.8	-1	561.76	1.380	11.85
-2	-1	562.23	1.380	11.79
-2.2	-1	562.76	1.379	12.10
-2.4	-1	562.43	1.379	11.78
-2.6	-1	562.32	1.381	11.53
-2.8	-1	561.83	1.380	11.45
-3	-1	562.00	1.381	10.37
-3.2	-1	559.94	1.382	12.98
-3.4	-1	558.84	1.382	12.95
-3.2	-1.2	559.86	1.383	13.22
-3	-1.2	561.32	1.382	11.30
