Blue Ridge Optics, November 2025				
Serial 003: LiF on 3-inch Silicon Wafer. With visibly hazy areas				
Used RC2XF Small Spot Ellipsometer with focused beam				
LiF Film Thickness in nm vs. Position				
X (cm)	Y (cm)	LiF Thickness, nm	LiF n@632.8 nm	Roughness, nm
1	3.4	543.62	1.406	10.50
0.8	3.4	558.64	1.384	12.30
0.6	3.4	560.02	1.382	13.53
0.4	3.4	560.35	1.382	13.09
0.2	3.4	559.47	1.382	13.25
0	3.4	559.07	1.382	12.71
-0.2	3.4	559.42	1.382	12.88
-0.4	3.4	559.71	1.382	12.88
-0.6	3.4	559.40	1.382	12.81
-0.8	3.4	558.55	1.383	12.57
-1	3.4	549.27	1.397	9.08
-1.4	3.2	552.22	1.391	9.82
-1.2	3.2	551.66	1.393	9.94
-1	3.2	558.43	1.383	11.92
-0.8	3.2	559.65	1.382	12.81
-0.6	3.2	559.59	1.382	12.62
-0.4	3.2	560.25	1.381	12.72
-0.2	3.2	561.47	1.381	10.23
0	3.2	560.27	1.381	12.68
0.2	3.2	560.39	1.382	12.80
0.4	3.2	560.86	1.381	13.00
0.6	3.2	559.66	1.382	12.79
0.8	3.2	559.89	1.381	13.17
1	3.2	559.46	1.382	13.37
1.2	3.2	559.70	1.382	13.93
1.4	3.2	559.33	1.384	12.21
1.8	3	562.43	1.378	14.01
1.6	3	561.79	1.379	13.85
1.4	3	560.36	1.381	12.94
1.2	3	561.18	1.381	13.67
1	3	560.35	1.381	13.94
0.8	3	559.59	1.379	15.36
0.6	3	559.59	1.380	14.57
0.4	3	560.53	1.380	12.93
0.2	3	560.87	1.381	11.97
0	3	560.84	1.380	12.42
-0.2	3	560.93	1.381	12.25
-0.4	3	560.02	1.381	12.57
-0.6	3	560.84	1.380	12.86
-0.8	3	559.65	1.382	12.42
-1	3	557.65	1.385	11.10
-1.2	3	554.90	1.389	10.33
-1.4	3	559.22	1.382	11.98
-1.6	3	557.83	1.383	11.25
-1.8	3	557.29	1.384	11.29
-2	2.8	558.98	1.383	10.78
-1.8	2.8	557.82	1.384	11.10
-1.6	2.8	556.79	1.385	10.80
-1.4	2.8	558.50	1.383	11.92
-1.2	2.8	559.19	1.382	11.71
