Blue Ridge Optics, November 2025				
Serial 004: LiF on 3-inch Silicon Wafer. With visibly hazy areas				
Used RC2XF Small Spot Ellipsometer with focused beam				
LiF Film Thickness in nm vs. Position				
X (cm)	Y (cm)	LiF Thickness, nm	LiF n@632.8 nm	Roughness, nm
1	3.4	559.93	1.387	12.26
0.8	3.4	559.92	1.388	12.33
0.6	3.4	560.28	1.386	11.97
0.4	3.4	561.18	1.384	12.60
0.2	3.4	561.87	1.383	13.11
0	3.4	561.64	1.383	12.93
-0.2	3.4	560.57	1.385	12.31
-0.4	3.4	560.34	1.386	12.52
-0.6	3.4	560.34	1.386	12.71
-0.8	3.4	559.57	1.387	11.99
-1	3.4	560.04	1.386	12.66
-1.4	3.2	560.91	1.383	13.26
-1.2	3.2	560.93	1.383	12.35
-1	3.2	561.61	1.382	12.79
-0.8	3.2	561.35	1.383	12.52
-0.6	3.2	561.36	1.384	12.61
-0.4	3.2	561.45	1.383	12.68
-0.2	3.2	561.65	1.383	13.08
0	3.2	562.20	1.382	13.21
0.2	3.2	562.54	1.382	13.39
0.4	3.2	564.19	1.382	15.83
0.6	3.2	561.40	1.384	13.16
0.8	3.2	561.92	1.384	12.86
1	3.2	561.93	1.384	12.66
1.2	3.2	561.96	1.384	13.07
1.4	3.2	560.59	1.386	12.48
1.8	3	560.93	1.384	12.70
1.6	3	561.86	1.383	13.07
1.4	3	563.57	1.381	14.44
1.2	3	561.92	1.383	13.60
1	3	561.75	1.383	12.75
0.8	3	562.09	1.382	12.91
0.6	3	562.72	1.381	13.20
0.4	3	562.69	1.381	13.15
0.2	3	563.29	1.381	14.23
0	3	561.70	1.382	12.99
-0.2	3	561.87	1.382	12.72
-0.4	3	562.94	1.383	14.02
-0.6	3	562.32	1.382	13.12
-0.8	3	562.20	1.381	12.75
-1	3	562.18	1.381	13.12
-1.2	3	563.02	1.381	14.36
-1.4	3	562.17	1.381	13.27
-1.6	3	561.16	1.382	12.33
-1.8	3	560.53	1.382	12.30
-2	2.8	561.26	1.381	12.19
-1.8	2.8	561.99	1.380	12.29
-1.6	2.8	561.60	1.382	12.35
-1.4	2.8	562.17	1.380	12.92
-1.2	2.8	562.45	1.380	13.58
-1	2.8	562.81	1.379	12.86
-0.8	2.8	562.41	1.380	12.78
-0.6	2.8	562.04	1.381	12.74
-0.4	2.8	562.28	1.383	12.40
-0.2	2.8	563.15	1.381	13.52
0	2.8	563.12	1.380	13.27
0.2	2.8	563.09	1.380	13.04
0.4	2.8	565.26	1.380	14.65
0.6	2.8	563.45	1.381	13.97
0.8	2.8	562.71	1.382	12.89
1	2.8	562.70	1.381	12.92
1.2	2.8	561.57	1.383	12.39
1.4	2.8	562.93	1.381	12.91
1.6	2.8	562.26	1.382	13.52
1.8	2.8	562.04	1.382	13.24
2	2.8	561.68	1.383	14.25
