Blue Ridge Optics, November 2025				
Serial 004: LiF on 3-inch Silicon Wafer. With visibly hazy areas				
Used RC2XF Small Spot Ellipsometer with focused beam				
LiF Film Thickness in nm vs. Position				
X (cm)	Y (cm)	LiF Thickness, nm	LiF n@632.8 nm	Roughness, nm
2.4	2.6	561.14	1.383	13.53
2.2	2.6	563.12	1.380	14.33
2	2.6	563.47	1.380	14.15
1.8	2.6	564.27	1.380	15.55
1.6	2.6	562.63	1.381	13.53
1.4	2.6	561.98	1.382	13.09
1.2	2.6	562.31	1.381	12.60
1	2.6	563.33	1.381	13.02
0.8	2.6	563.65	1.381	13.79
0.6	2.6	564.31	1.380	13.92
0.4	2.6	566.49	1.379	14.12
0.2	2.6	562.94	1.380	12.97
0	2.6	562.65	1.380	12.76
-0.2	2.6	562.36	1.381	12.35
-0.4	2.6	563.11	1.381	12.60
-0.6	2.6	562.43	1.380	12.44
-0.8	2.6	562.53	1.380	12.61
-1	2.6	563.18	1.379	13.06
-1.2	2.6	563.14	1.379	13.13
-1.4	2.6	562.63	1.381	12.23
-1.6	2.6	562.11	1.380	12.41
-1.8	2.6	562.22	1.379	12.17
-2	2.6	561.31	1.380	12.40
-2.2	2.6	560.99	1.381	12.04
-2.4	2.6	560.49	1.382	11.87
-2.6	2.4	560.64	1.381	11.19
-2.4	2.4	561.25	1.380	11.69
-2.2	2.4	561.84	1.379	12.21
-2	2.4	562.63	1.379	12.48
-1.8	2.4	562.38	1.379	12.37
-1.6	2.4	562.04	1.381	12.13
-1.4	2.4	562.46	1.381	12.95
-1.2	2.4	562.82	1.380	12.84
-1	2.4	562.78	1.379	13.02
-0.8	2.4	563.21	1.379	13.23
-0.6	2.4	563.33	1.379	13.52
-0.4	2.4	563.11	1.380	12.59
-0.2	2.4	563.37	1.380	12.98
0	2.4	563.09	1.380	12.93
0.2	2.4	563.39	1.379	13.08
0.4	2.4	565.25	1.378	14.45
0.6	2.4	563.40	1.380	13.01
0.8	2.4	563.67	1.380	13.18
1	2.4	563.70	1.381	14.21
1.2	2.4	564.16	1.380	14.11
1.4	2.4	562.37	1.382	13.18
1.6	2.4	563.81	1.380	13.67
1.8	2.4	562.70	1.381	13.47
2	2.4	562.95	1.380	13.73
2.2	2.4	563.14	1.380	13.83
2.4	2.4	562.47	1.381	13.87
2.6	2.4	560.34	1.383	13.00
2.6	2.2	561.05	1.382	13.14
2.4	2.2	563.26	1.380	13.74
2.2	2.2	563.38	1.379	13.74
2	2.2	563.54	1.380	14.10
1.8	2.2	563.05	1.380	13.65
1.6	2.2	562.83	1.381	12.82
1.4	2.2	562.85	1.381	13.06
1.2	2.2	563.70	1.381	14.28
1	2.2	563.28	1.381	12.89
0.8	2.2	563.56	1.379	13.63
0.6	2.2	563.91	1.379	13.21
0.4	2.2	563.46	1.379	13.04
0.2	2.2	563.18	1.379	12.74
0	2.2	563.33	1.380	12.78
-0.2	2.2	562.84	1.381	12.36
-0.4	2.2	564.26	1.379	13.66
-0.6	2.2	563.43	1.379	13.03
-0.8	2.2	563.72	1.378	12.81
-1	2.2	563.28	1.379	12.74
-1.2	2.2	562.94	1.380	12.67
-1.4	2.2	562.30	1.380	12.17
-1.6	2.2	562.63	1.380	12.03
-1.8	2.2	563.14	1.378	12.14
-2	2.2	562.74	1.379	12.51
-2.2	2.2	561.64	1.380	12.07
-2.4	2.2	561.98	1.379	11.40
-2.6	2.2	561.69	1.380	11.63
-2.8	2	561.14	1.382	11.75
-2.6	2	562.07	1.381	11.62
-2.4	2	562.03	1.381	11.47
-2.2	2	562.19	1.381	12.18
-2	2	563.55	1.378	12.56
-1.8	2	563.26	1.378	12.36
-1.6	2	562.32	1.380	12.24
-1.4	2	562.96	1.380	13.88
-1.2	2	563.21	1.379	12.85
-1	2	563.50	1.379	12.95
-0.8	2	563.44	1.378	13.05
-0.6	2	563.38	1.379	12.82
-0.4	2	563.31	1.379	12.91
-0.2	2	562.92	1.380	13.06
0	2	563.22	1.380	12.91
0.2	2	563.38	1.379	12.90
0.4	2	564.59	1.379	14.64
0.6	2	563.80	1.379	13.25
0.8	2	563.58	1.379	13.64
1	2	563.55	1.380	13.12
1.2	2	563.26	1.381	13.02
1.4	2	563.49	1.381	13.17
1.6	2	562.63	1.381	13.47
1.8	2	563.44	1.379	13.83
2	2	563.89	1.379	14.79
2.2	2	563.35	1.379	14.41
2.4	2	563.00	1.380	14.01
2.6	2	562.89	1.380	14.22
2.8	2	562.76	1.381	14.24
3	1.8	563.19	1.380	14.38
2.8	1.8	563.99	1.380	13.90
2.6	1.8	563.24	1.380	13.63
2.4	1.8	563.98	1.378	14.15
2.2	1.8	563.85	1.378	13.86
2	1.8	564.32	1.379	14.59
1.8	1.8	563.32	1.380	13.34
1.6	1.8	563.10	1.380	13.87
1.4	1.8	562.99	1.381	12.96
1.2	1.8	564.10	1.379	13.35
1	1.8	563.49	1.379	13.20
0.8	1.8	563.34	1.379	13.47
0.6	1.8	563.46	1.379	13.64
0.4	1.8	563.75	1.379	12.97
0.2	1.8	563.25	1.380	12.90
0	1.8	563.28	1.380	12.95
-0.2	1.8	563.15	1.380	13.00
-0.4	1.8	564.01	1.378	12.86
-0.6	1.8	564.16	1.377	12.78
-0.8	1.8	563.91	1.378	13.10
-1	1.8	563.72	1.378	12.45
-1.2	1.8	563.31	1.379	12.67
-1.4	1.8	562.77	1.379	12.19
-1.6	1.8	562.86	1.379	12.13
-1.8	1.8	563.38	1.378	12.41
-2	1.8	566.22	1.377	11.39
-2.2	1.8	563.00	1.381	11.44
-2.4	1.8	562.91	1.380	11.73
-2.6	1.8	562.71	1.380	11.57
-2.8	1.8	562.38	1.380	12.21
-3	1.8	560.64	1.381	11.80
-3	1.6	561.69	1.380	11.70
-2.8	1.6	561.93	1.379	11.68
-2.6	1.6	562.58	1.379	12.11
-2.4	1.6	563.40	1.379	11.84
-2.2	1.6	563.08	1.380	11.88
-2	1.6	563.46	1.379	12.65
-1.8	1.6	563.51	1.378	12.41
-1.6	1.6	562.85	1.379	12.37
-1.4	1.6	562.75	1.379	12.45
-1.2	1.6	563.39	1.379	12.54
-1	1.6	563.28	1.378	12.71
-0.8	1.6	563.60	1.378	12.99
-0.6	1.6	563.88	1.378	13.01
-0.4	1.6	563.99	1.378	13.11
-0.2	1.6	563.27	1.379	13.21
0	1.6	564.32	1.380	13.74
0.2	1.6	563.22	1.380	12.81
0.4	1.6	563.24	1.379	13.02
0.6	1.6	563.62	1.379	13.15
0.8	1.6	563.71	1.378	13.42
1	1.6	563.97	1.378	13.46
1.2	1.6	563.36	1.379	13.56
1.4	1.6	563.16	1.380	13.40
1.6	1.6	563.22	1.380	13.34
1.8	1.6	563.06	1.380	13.28
2	1.6	563.99	1.379	14.34
2.2	1.6	564.25	1.378	14.09
2.4	1.6	563.64	1.379	13.98
2.6	1.6	563.31	1.380	13.94
2.8	1.6	563.15	1.381	13.69
3	1.6	563.27	1.380	14.34
3.2	1.4	561.75	1.381	13.17
3	1.4	562.86	1.380	13.61
2.8	1.4	563.89	1.379	14.09
2.6	1.4	563.68	1.379	14.17
2.4	1.4	563.96	1.378	13.77
2.2	1.4	563.83	1.379	13.79
2	1.4	563.98	1.379	13.50
1.8	1.4	563.52	1.380	13.29
1.6	1.4	564.00	1.380	14.03
1.4	1.4	563.88	1.379	13.41
1.2	1.4	563.96	1.379	13.53
1	1.4	563.98	1.378	13.40
0.8	1.4	563.93	1.378	13.21
0.6	1.4	563.22	1.379	12.98
0.4	1.4	564.45	1.379	14.04
0.2	1.4	564.02	1.379	13.27
0	1.4	563.64	1.379	13.34
-0.2	1.4	563.63	1.378	12.91
-0.4	1.4	564.35	1.377	13.21
-0.6	1.4	564.06	1.378	12.87
-0.8	1.4	563.47	1.378	12.88
-1	1.4	563.57	1.378	12.92
-1.2	1.4	563.92	1.379	12.42
-1.4	1.4	563.16	1.379	12.28
-1.6	1.4	563.50	1.378	12.30
-1.8	1.4	563.68	1.378	12.39
-2	1.4	564.32	1.378	12.58
-2.2	1.4	563.48	1.379	11.52
-2.4	1.4	563.46	1.379	12.13
-2.6	1.4	563.03	1.379	11.83
-2.8	1.4	562.85	1.379	11.69
-3	1.4	561.89	1.380	11.56
-3.2	1.4	561.45	1.382	11.56
-3.2	1.2	561.94	1.380	11.89
-3	1.2	561.75	1.380	11.47
-2.8	1.2	563.38	1.378	12.30
-2.6	1.2	562.97	1.379	12.02
-2.4	1.2	563.01	1.379	12.74
-2.2	1.2	563.50	1.380	11.20
-2	1.2	563.47	1.379	12.24
-1.8	1.2	563.86	1.378	12.55
-1.6	1.2	563.81	1.378	12.38
-1.4	1.2	562.73	1.379	12.49
-1.2	1.2	563.35	1.379	12.53
-1	1.2	563.50	1.378	12.79
-0.8	1.2	564.31	1.378	13.69
-0.6	1.2	563.93	1.378	13.15
-0.4	1.2	564.10	1.378	13.30
-0.2	1.2	564.12	1.377	13.23
0	1.2	563.95	1.378	13.09
0.2	1.2	564.16	1.378	13.16
0.4	1.2	563.87	1.379	13.26
0.6	1.2	563.79	1.379	13.28
0.8	1.2	563.81	1.378	13.25
1	1.2	563.99	1.378	13.45
1.2	1.2	564.06	1.378	12.97
1.4	1.2	564.02	1.378	13.62
1.6	1.2	563.42	1.380	13.42
1.8	1.2	563.86	1.379	13.71
2	1.2	563.64	1.380	13.47
2.2	1.2	563.79	1.379	13.82
2.4	1.2	563.82	1.378	14.34
2.6	1.2	564.08	1.378	14.29
2.8	1.2	564.56	1.378	14.50
3	1.2	563.93	1.381	15.21
3.2	1.2	562.00	1.381	13.44
3.4	1	560.09	1.383	13.10
3.2	1	563.32	1.380	15.35
3	1	564.07	1.380	14.99
2.8	1	564.40	1.378	14.08
2.6	1	564.63	1.377	14.04
2.4	1	564.17	1.378	14.17
2.2	1	564.00	1.378	13.66
2	1	565.17	1.379	15.34
1.8	1	563.89	1.379	13.26
1.6	1	563.29	1.379	13.58
1.4	1	563.96	1.378	13.47
1.2	1	564.47	1.377	13.39
1	1	564.59	1.377	13.32
0.8	1	564.66	1.377	13.24
0.6	1	564.39	1.378	13.30
0.4	1	564.22	1.378	13.19
0.2	1	564.52	1.377	12.89
0	1	564.44	1.377	12.83
-0.2	1	564.67	1.377	12.88
-0.4	1	564.25	1.377	13.00
-0.6	1	564.31	1.377	12.83
-0.8	1	564.16	1.378	12.71
-1	1	564.24	1.377	12.08
-1.2	1	563.77	1.378	12.30
-1.4	1	563.47	1.378	12.37
-1.6	1	564.27	1.377	12.57
-1.8	1	563.85	1.378	12.54
-2	1	563.64	1.379	12.29
-2.2	1	562.99	1.379	12.00
-2.4	1	563.69	1.380	12.90
-2.6	1	563.42	1.378	11.70
-2.8	1	563.47	1.378	11.55
-3	1	561.97	1.379	11.90
-3.2	1	562.02	1.379	11.52
-3.4	1	561.46	1.381	11.62
-3.4	0.8	561.43	1.380	11.18
-3.2	0.8	562.57	1.379	11.54
-3	0.8	562.77	1.379	11.96
-2.8	0.8	563.20	1.378	11.89
-2.6	0.8	563.52	1.378	11.93
-2.4	0.8	563.23	1.378	12.22
-2.2	0.8	563.40	1.378	12.06
-2	0.8	563.89	1.378	12.03
-1.8	0.8	564.59	1.377	12.35
-1.6	0.8	563.98	1.377	12.28
-1.4	0.8	563.66	1.378	12.08
-1.2	0.8	563.63	1.378	12.49
-1	0.8	564.29	1.377	12.47
-0.8	0.8	564.06	1.378	12.72
-0.6	0.8	563.94	1.378	12.57
-0.4	0.8	564.60	1.377	13.06
-0.2	0.8	564.42	1.377	12.82
0	0.8	564.93	1.377	13.24
0.2	0.8	565.02	1.377	13.96
0.4	0.8	564.31	1.379	13.35
0.6	0.8	564.11	1.379	13.26
0.8	0.8	564.37	1.378	13.76
1	0.8	564.77	1.378	13.91
1.2	0.8	564.25	1.378	13.58
1.4	0.8	563.91	1.378	13.44
1.6	0.8	563.74	1.378	13.58
1.8	0.8	563.85	1.379	13.44
2	0.8	563.99	1.379	13.55
2.2	0.8	564.16	1.379	13.63
2.4	0.8	564.45	1.377	13.70
2.6	0.8	564.69	1.377	13.87
2.8	0.8	564.93	1.377	14.94
3	0.8	564.98	1.378	15.42
3.2	0.8	563.06	1.380	13.88
3.4	0.8	561.19	1.382	13.17
3.4	0.6	561.96	1.382	15.33
3.2	0.6	563.38	1.379	13.92
3	0.6	564.48	1.378	14.53
2.8	0.6	564.75	1.377	14.50
2.6	0.6	565.58	1.377	14.72
2.4	0.6	564.26	1.378	13.83
2.2	0.6	564.05	1.380	13.97
2	0.6	564.07	1.379	13.62
1.8	0.6	563.77	1.378	13.35
1.6	0.6	563.80	1.378	13.37
1.4	0.6	563.99	1.378	13.61
1.2	0.6	564.29	1.378	13.43
1	0.6	564.58	1.377	13.32
0.8	0.6	564.73	1.378	13.43
0.6	0.6	565.65	1.378	14.79
0.4	0.6	564.47	1.378	13.37
0.2	0.6	564.20	1.378	12.96
0	0.6	564.44	1.377	13.16
-0.2	0.6	564.51	1.377	13.26
-0.4	0.6	564.63	1.377	12.85
-0.6	0.6	564.14	1.378	12.90
-0.8	0.6	563.82	1.378	12.58
-1	0.6	564.37	1.377	12.99
-1.2	0.6	564.26	1.377	12.78
-1.4	0.6	563.86	1.378	12.46
-1.6	0.6	563.80	1.378	12.59
-1.8	0.6	564.16	1.377	12.51
-2	0.6	563.70	1.379	12.70
-2.2	0.6	563.71	1.378	12.30
-2.4	0.6	563.59	1.377	11.51
-2.6	0.6	563.87	1.378	12.60
-2.8	0.6	563.44	1.378	11.95
-3	0.6	563.52	1.377	11.72
-3.2	0.6	562.12	1.379	11.67
-3.4	0.6	561.86	1.380	11.42
-3.4	0.4	562.27	1.380	11.92
-3.2	0.4	562.51	1.379	11.68
-3	0.4	563.27	1.378	11.69
-2.8	0.4	563.30	1.378	11.81
-2.6	0.4	563.08	1.378	11.95
-2.4	0.4	563.76	1.378	12.68
-2.2	0.4	563.39	1.378	12.29
-2	0.4	564.03	1.377	12.12
-1.8	0.4	564.21	1.377	12.22
-1.6	0.4	563.00	1.380	12.68
-1.4	0.4	564.05	1.378	12.31
-1.2	0.4	564.29	1.377	12.51
-1	0.4	563.98	1.377	12.38
-0.8	0.4	564.28	1.378	12.80
-0.6	0.4	564.65	1.377	13.06
-0.4	0.4	564.21	1.378	12.51
-0.2	0.4	564.61	1.377	13.11
0	0.4	564.51	1.377	13.22
0.2	0.4	564.80	1.377	13.24
0.4	0.4	564.70	1.378	13.12
0.6	0.4	564.31	1.378	13.45
0.8	0.4	564.68	1.378	13.20
1	0.4	564.65	1.377	13.25
1.2	0.4	564.33	1.377	13.61
1.4	0.4	563.71	1.378	13.46
1.6	0.4	563.97	1.378	13.80
1.8	0.4	564.43	1.378	13.66
2	0.4	564.07	1.379	13.66
2.2	0.4	564.47	1.379	13.58
2.4	0.4	564.39	1.378	13.79
2.6	0.4	563.97	1.378	13.99
2.8	0.4	564.27	1.378	14.15
3	0.4	564.24	1.377	14.25
3.2	0.4	564.11	1.378	14.90
3.4	0.4	562.55	1.380	13.98
3.4	0.2	562.84	1.380	14.02
3.2	0.2	563.96	1.378	14.34
3	0.2	564.80	1.377	14.61
2.8	0.2	564.72	1.377	14.22
2.6	0.2	564.61	1.377	13.89
2.4	0.2	564.15	1.378	13.85
2.2	0.2	564.73	1.378	13.74
2	0.2	564.54	1.377	13.48
1.8	0.2	564.60	1.377	13.57
1.6	0.2	564.55	1.377	13.52
1.4	0.2	564.29	1.377	13.68
1.2	0.2	564.56	1.377	13.50
1	0.2	564.52	1.377	14.06
0.8	0.2	564.68	1.377	13.56
0.6	0.2	564.57	1.378	13.22
0.4	0.2	564.92	1.377	13.20
0.2	0.2	564.62	1.377	13.24
0	0.2	565.12	1.376	12.97
-0.2	0.2	564.63	1.377	12.77
-0.4	0.2	564.14	1.378	12.82
-0.6	0.2	567.23	1.376	14.26
-0.8	0.2	564.38	1.377	12.29
-1	0.2	564.06	1.377	12.22
-1.2	0.2	564.33	1.377	12.30
-1.4	0.2	565.03	1.381	17.91
-1.6	0.2	564.37	1.377	12.14
-1.8	0.2	563.63	1.378	12.39
-2	0.2	564.05	1.378	12.99
-2.2	0.2	563.30	1.378	11.97
-2.4	0.2	563.65	1.378	11.89
-2.6	0.2	563.23	1.378	11.75
-2.8	0.2	563.39	1.377	12.07
-3	0.2	563.91	1.377	11.97
-3.2	0.2	562.54	1.379	11.53
-3.4	0.2	562.47	1.379	11.24
-3.4	0	562.80	1.379	11.37
-3.2	0	562.69	1.379	11.37
-3	0	563.22	1.378	11.96
-2.8	0	563.72	1.377	12.11
-2.6	0	563.47	1.378	11.97
-2.4	0	563.69	1.377	11.77
-2.2	0	563.90	1.377	12.02
-2	0	564.18	1.377	11.81
-1.8	0	563.74	1.378	12.12
-1.6	0	564.31	1.377	12.08
-1.4	0	565.74	1.377	14.03
-1.2	0	564.52	1.377	12.09
-1	0	564.29	1.377	12.36
-0.8	0	564.28	1.377	12.28
-0.6	0	564.26	1.378	12.65
-0.4	0	564.64	1.377	12.67
-0.2	0	564.65	1.377	12.92
0	0	564.87	1.377	12.95
0.2	0	564.99	1.377	13.29
0.4	0	564.98	1.377	13.31
0.6	0	564.22	1.378	13.50
0.8	0	564.57	1.378	13.60
1	0	564.55	1.377	13.53
1.2	0	564.73	1.377	13.44
1.4	0	564.28	1.377	13.59
1.6	0	564.61	1.377	13.87
1.8	0	564.73	1.377	13.42
2	0	564.32	1.377	13.83
2.2	0	564.12	1.378	13.98
2.4	0	564.21	1.378	13.91
2.6	0	564.35	1.378	14.19
2.8	0	564.85	1.377	14.58
3	0	564.27	1.378	14.74
3.2	0	564.57	1.377	14.55
3.4	0	564.54	1.379	16.93
3.4	-0.2	563.57	1.379	14.60
3.2	-0.2	564.12	1.378	14.85
3	-0.2	564.63	1.378	14.19
2.8	-0.2	564.68	1.378	14.11
2.6	-0.2	564.95	1.377	14.03
2.4	-0.2	564.65	1.377	13.98
2.2	-0.2	564.48	1.377	13.87
2	-0.2	564.29	1.377	13.81
1.8	-0.2	564.41	1.377	13.72
1.6	-0.2	564.47	1.377	13.47
1.4	-0.2	564.21	1.377	13.62
1.2	-0.2	564.88	1.377	13.65
1	-0.2	565.16	1.377	13.47
0.8	-0.2	564.38	1.378	13.39
0.6	-0.2	564.52	1.378	13.49
0.4	-0.2	564.41	1.378	13.40
0.2	-0.2	564.94	1.376	13.08
0	-0.2	564.80	1.377	12.91
-0.2	-0.2	564.30	1.377	13.11
-0.4	-0.2	564.31	1.377	12.54
-0.6	-0.2	564.26	1.378	12.53
-0.8	-0.2	564.52	1.377	12.68
-1	-0.2	564.42	1.377	12.60
-1.2	-0.2	564.51	1.377	12.52
-1.4	-0.2	564.36	1.377	12.05
-1.6	-0.2	564.45	1.378	12.04
-1.8	-0.2	564.69	1.377	12.24
-2	-0.2	564.16	1.377	11.79
-2.2	-0.2	563.92	1.377	11.84
-2.4	-0.2	564.11	1.377	11.25
-2.6	-0.2	563.74	1.377	11.42
-2.8	-0.2	564.12	1.377	12.02
-3	-0.2	563.09	1.378	11.98
-3.2	-0.2	563.33	1.379	12.18
-3.4	-0.2	562.64	1.379	11.46
-3.4	-0.4	563.55	1.379	11.74
-3.2	-0.4	563.23	1.379	11.46
-3	-0.4	563.64	1.377	11.64
-2.8	-0.4	563.80	1.377	11.83
-2.6	-0.4	564.30	1.377	11.94
-2.4	-0.4	563.78	1.377	11.41
-2.2	-0.4	563.58	1.379	11.63
-2	-0.4	564.08	1.377	11.82
-1.8	-0.4	564.65	1.377	12.03
-1.6	-0.4	564.64	1.377	12.10
-1.4	-0.4	564.61	1.377	12.66
-1.2	-0.4	564.36	1.378	12.30
-1	-0.4	564.28	1.378	12.45
-0.8	-0.4	564.55	1.377	12.71
-0.6	-0.4	564.00	1.379	13.00
-0.4	-0.4	563.80	1.378	13.32
-0.2	-0.4	564.59	1.377	13.08
0	-0.4	564.86	1.377	13.25
0.2	-0.4	564.83	1.376	13.44
0.4	-0.4	564.41	1.377	13.50
0.6	-0.4	564.38	1.378	13.31
0.8	-0.4	564.79	1.379	13.81
1	-0.4	564.86	1.377	13.58
1.2	-0.4	564.58	1.377	13.84
1.4	-0.4	565.44	1.376	14.18
1.6	-0.4	564.34	1.378	13.96
1.8	-0.4	564.63	1.377	13.61
2	-0.4	564.63	1.377	13.78
2.2	-0.4	564.80	1.377	14.05
2.4	-0.4	564.80	1.377	14.07
2.6	-0.4	564.48	1.377	14.08
2.8	-0.4	564.49	1.378	13.81
3	-0.4	564.49	1.378	14.33
3.2	-0.4	563.87	1.378	14.49
3.4	-0.4	563.44	1.379	14.67
3.4	-0.6	562.98	1.379	14.63
3.2	-0.6	564.05	1.378	14.45
3	-0.6	564.68	1.378	15.74
2.8	-0.6	564.49	1.377	14.18
2.6	-0.6	564.65	1.377	14.07
2.4	-0.6	564.80	1.377	13.94
2.2	-0.6	564.94	1.377	13.97
2	-0.6	564.99	1.377	13.85
1.8	-0.6	564.57	1.377	13.59
1.6	-0.6	564.46	1.377	13.82
1.4	-0.6	564.89	1.377	13.88
1.2	-0.6	564.51	1.378	13.55
1	-0.6	564.96	1.377	13.47
0.8	-0.6	564.38	1.378	13.37
0.6	-0.6	564.33	1.378	13.75
0.4	-0.6	564.71	1.377	13.41
0.2	-0.6	564.60	1.377	13.39
0	-0.6	564.62	1.377	13.13
-0.2	-0.6	564.41	1.377	13.28
-0.4	-0.6	564.36	1.378	12.93
-0.6	-0.6	564.16	1.379	13.06
-0.8	-0.6	564.51	1.377	12.73
-1	-0.6	564.54	1.377	12.32
-1.2	-0.6	564.35	1.378	12.34
-1.4	-0.6	564.55	1.377	12.25
-1.6	-0.6	563.82	1.378	11.97
-1.8	-0.6	564.17	1.377	11.87
-2	-0.6	564.39	1.377	11.78
-2.2	-0.6	563.74	1.378	11.72
-2.4	-0.6	563.33	1.378	11.80
-2.6	-0.6	563.91	1.377	11.68
-2.8	-0.6	564.10	1.377	11.90
-3	-0.6	563.56	1.378	11.99
-3.2	-0.6	563.37	1.378	11.92
-3.4	-0.6	562.34	1.379	11.14
-3.4	-0.8	562.45	1.379	11.53
-3.2	-0.8	563.27	1.378	12.09
-3	-0.8	563.64	1.378	11.53
-2.8	-0.8	564.55	1.377	11.77
-2.6	-0.8	564.01	1.378	12.37
-2.4	-0.8	563.88	1.377	11.55
-2.2	-0.8	565.41	1.376	12.21
-2	-0.8	564.25	1.377	11.86
-1.8	-0.8	564.60	1.377	11.44
-1.6	-0.8	564.42	1.377	12.07
-1.4	-0.8	564.21	1.378	12.09
-1.2	-0.8	564.33	1.378	12.76
-1	-0.8	564.62	1.377	12.52
-0.8	-0.8	564.92	1.377	12.66
-0.6	-0.8	564.55	1.378	12.96
-0.4	-0.8	564.79	1.377	13.19
-0.2	-0.8	564.69	1.377	12.68
0	-0.8	564.41	1.377	13.19
0.2	-0.8	564.90	1.376	13.57
0.4	-0.8	564.92	1.377	13.24
0.6	-0.8	564.55	1.378	13.46
0.8	-0.8	564.54	1.378	13.66
1	-0.8	564.61	1.378	13.27
1.2	-0.8	564.59	1.377	13.75
1.4	-0.8	564.76	1.377	13.72
1.6	-0.8	565.06	1.376	13.71
1.8	-0.8	564.93	1.376	14.16
2	-0.8	564.58	1.377	14.00
2.2	-0.8	565.23	1.376	13.83
2.4	-0.8	564.89	1.377	14.58
2.6	-0.8	564.55	1.377	14.17
2.8	-0.8	564.41	1.377	14.28
3	-0.8	564.25	1.378	13.97
3.2	-0.8	564.27	1.378	14.42
3.4	-0.8	563.53	1.380	15.33
3.4	-1	561.61	1.380	14.15
3.2	-1	564.02	1.379	14.41
3	-1	564.37	1.378	14.22
2.8	-1	564.59	1.377	14.27
2.6	-1	564.42	1.377	14.18
2.4	-1	564.78	1.376	13.95
2.2	-1	565.03	1.377	13.96
2	-1	565.54	1.376	13.98
1.8	-1	565.42	1.376	13.85
1.6	-1	565.14	1.376	14.04
1.4	-1	565.00	1.377	13.32
1.2	-1	564.61	1.378	13.27
1	-1	564.52	1.378	13.44
0.8	-1	564.47	1.378	13.69
0.6	-1	564.94	1.377	13.38
0.4	-1	565.21	1.376	13.51
0.2	-1	564.83	1.377	13.08
0	-1	564.83	1.377	13.30
-0.2	-1	564.69	1.377	12.84
-0.4	-1	564.86	1.377	12.73
-0.6	-1	564.34	1.378	13.01
-0.8	-1	564.74	1.377	12.43
-1	-1	564.67	1.377	12.34
-1.2	-1	564.42	1.377	12.31
-1.4	-1	564.60	1.377	12.28
-1.6	-1	564.26	1.378	12.05
-1.8	-1	564.30	1.378	11.97
-2	-1	564.59	1.377	11.98
-2.2	-1	564.00	1.378	11.71
-2.4	-1	564.12	1.377	11.75
-2.6	-1	563.79	1.378	12.14
-2.8	-1	564.49	1.376	12.05
-3	-1	563.91	1.377	11.96
-3.2	-1	563.75	1.378	11.97
-3.4	-1	561.84	1.380	10.66
-3.2	-1.2	563.00	1.379	11.87
-3	-1.2	564.18	1.378	11.90
